Gene_name	Comment	Keyword
ANKRD45	Expression in cilia in fallopian tube, uterus and respiratory epithelium. Cytoplasmic expression in testis.,Gastrointestinal tract, testis, epididymis and placenta showed weak to moderate cytoplasmic positivity. Cilia in bronchus displayed moderate immunoreactivity. Other normal tissues were negative.,Cilia in respiratory epithelium and fallopian tubes showed moderate to strong positivity. Stomach and gall bladder displayed moderate membranous and cytoplasmic staining. Cells in seminiferous ducts displayed weak cytoplasmic immunoreactivity. Other normal tissues were negative.<br>Mainly localized to the cytosol. In addition localized to the plasma membrane & centrosome.,centrosome,centrosome,centrosome<br>Expression in cilia in fallopian tube, uterus and respiratory epithelium. Cytoplasmic expression in testis.,Gastrointestinal tract, testis, epididymis and placenta showed weak to moderate cytoplasmic positivity. Cilia in bronchus displayed moderate immunoreactivity. Other normal tissues were negative.,Cilia in respiratory epithelium and fallopian tubes showed moderate to strong positivity. Stomach and gall bladder displayed moderate membranous and cytoplasmic staining. Cells in seminiferous ducts displayed weak cytoplasmic immunoreactivity. Other normal tissues were negative.<br>Mainly localized to the cytosol. In addition localized to the plasma membrane & centrosome.,centrosome,centrosome,centrosome	Cilia<br>Cilia<br>Centrosome<br>Centrosome
ANKRD65	Selective expression in ciliated cells of fallopian tube and bronchus.,Ciliated cells of fallopian tube and bronchus were moderately stained. Remaining normal tissues were negative.	Cilia
ANKRD7	centrosome	Centrosome
ANO2	Moderate staining was observed in nerve fibers in outer plexiform layer of retina. Moderate membranous staining was observed in ciliated cells of respiratory epithelia and fallopian tube. Other normal tissues were negative.	Cilia
ANO3	A majority of normal tissues showed weak to moderate cytoplasmic staining. Ciliated cells showed strong cytoplasmic and membranous positivity while megakaryocytes and smooth muscle only showed strong cytoplasmic staining. Neuropil and a subset of neuronal cells showed distinct positivity. Liver, prostate, lymphoid tissue and glial cells were generally negative.	Cilia
ANP32A	Mainly localized to the nucleoplasm & centrosome. In addition localized to the cytosol.Caution: Based on antibodies targeting proteins from multiple genes.,centrosome,centrosome,centrosome,centrosome	Centrosome
ANP32B	Mainly localized to the nucleoplasm. In addition localized to the cytosol & centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
ANP32D	Mainly localized to the nucleoplasm & centrosome. In addition localized to the cytosol.Caution: Based on antibodies targeting proteins from multiple genes.,centrosome,centrosome,centrosome,centrosome	Centrosome
ANP32E	Mainly localized to the nucleoplasm & centrosome. In addition localized to the cytosol.Caution: Based on antibodies targeting proteins from multiple genes.,centrosome,centrosome,centrosome,centrosome	Centrosome
ANXA1	Moderate to strong cytoplasmic positivity, in a few cases combined with membranous staining, was observed in salivary glands, lung, female genitalia, prostate, squamous and respiratory epithelia along with subsets of cells in lymphoid tissues. Cilia in respiratory epithelia and fallopian tube were distinctly stained. Remaining normal tissues were in general negative.,Strong cytoplasmic staining often combined with nuclear and membranous positivity was observed in bone marrow, bladder, placenta, ciliated cells, prostate, female genitalia and squamous epithelia. Remaining normal tissues were generally negative.	Cilia
ANXA13	Moderate cytoplasmic and/or membranous positivity was observed in gastrointestinal glands, bronchus, bile ducts, renal tubules, ganglion cells, alveolar macrophages and seminal vesicle. Small intestine, duodenum and ciliated cells of fallopian tube were strongly stained. Remaining normal tissues were weakly stained or negative.,Gallbladder, bile duct cells, duodenum, exocrine pancreatic ducts and intestine showed strong membranous and cytoplasmic positivity. Cilia in fallopian tubes showed strong membrane staining. Renal tubules, seminal vesicles, lung macrophages, skeletal and smooth muscle cells displayed weak to moderate cytoplasmic immunoreactivity. Other normal tissues were negative.	Cilia
ANXA4	The majority of normal tissues showed moderate to strong cytoplasmic and nuclear positivity along with membranous staining. Cilia of respiratory epithelia and fallopian tube were distinctly stained. Most cells in CNS, lymphoid tissues, testis and heart muscle were weakly stained or negative.	Cilia
ANXA6	Moderate cytoplasmic and membranous positivity was observed in lymphoid cells outside reaction centra, testis, trophoblastic cells and cilia in epididymis. Remaining normal tissues were generally weakly stained or negative.	Cilia
AP5M1	Lymphoid cells and subsets of cells in bone marrow displayed strong cytoplasmic staining. Adrenal gland, gall bladder and prostate were moderately stained. Epididymis showed positivity in cilia. Remaining normal tissues were weakly stained or negative.	Cilia
APEX1	centrosome,centrosome	Centrosome
APOL6	centrosome	Centrosome
APPL1	Localized to the centrosome & mitotic spindle.,centrosome,centrosome,centrosome,centrosome	Centrosome
ARHGAP26	Most normal tissues displayed weak to moderate cytoplasmic positivity, with additional membranous/nuclear staining in few cases. Purkinje cells, chondrocytes along with ciliated cells of bronchus and fallopian tube were strongly stained. Bone marrow, liver, glial cells and skeletal myocytes were negative.	Cilia
ARHGAP29	Mainly localized to the nucleoplasm & centrosome. In addition localized to the plasma membrane & cytosol.,centrosome,centrosome,centrosome	Centrosome
ARHGAP40	Mainly localized to the plasma membrane & cytosol. In addition localized to the nucleoplasm & centrosome.,centrosome,centrosome,centrosome	Centrosome
ARHGEF38	Weak to moderate cytoplasmic and occasional membranous positivity was observed in most of the normal tissues. Pancreatic islets, lung macrophages, breast and myocytes as well as basal cells in prostate, squamous and respiratory epithelium and showed strong staining. Cilia in bronchus and fallopian tubes were distinctly stained. The liver, alveolar cells, trophoblastic cells, glial cells and spleen were negative.<br>Localized to the nucleoplasm & centrosome.,centrosome,centrosome<br>Weak to moderate cytoplasmic and occasional membranous positivity was observed in most of the normal tissues. Pancreatic islets, lung macrophages, breast and myocytes as well as basal cells in prostate, squamous and respiratory epithelium and showed strong staining. Cilia in bronchus and fallopian tubes were distinctly stained. The liver, alveolar cells, trophoblastic cells, glial cells and spleen were negative.<br>Localized to the nucleoplasm & centrosome.,centrosome,centrosome	Cilia<br>Cilia<br>Centrosome<br>Centrosome
ARHGEF40	Hepatocytes and renal tubules showed strong cytoplasmic immunoreactivity with a granular pattern. Subsets of glial cells, gall bladder, Leydig cells and prostate gland were moderately stained. Cilia in fallopian tube showed distinct positivity. Remaining normal tissues were weakly stained or negative.	Cilia
ARHGEF5	Most normal tissues showed moderate to strong cytoplasmic positivity. Cells in CNS, lymphoid tissues and bile ducts were weakly stained or negative. Cilia in fallopian tube showed distinct positivity.	Cilia
ARL13B	Most normal tissues showed moderate cytoplasmic positivity. Ciliated cells of respiratory epithelia and fallopian tube were strongly stained. Ganglion cells, adrenal gland, placenta, cells in seminiferus ducts of testis, Leydig cells, endometrial gland and hematopoietic cells were strongly stained.	Cilia
ARL15	Most ciliated cells showed moderate to strong cytoplasmic and membranous staining. The gastrointestinal tract and thyroid gland exhibited moderate to strong cytoplasmic positivity. Remaining normal tissues were weakly stained or negative.	Cilia
ARL3	Mainly localized to the centrosome. In addition localized to the nucleoplasm.,centrosome,centrosome,centrosome,centrosome	Centrosome
ARL6	Mainly cytoplasmic expression in most tissues, including cilia positivity.	Cilia
ARL6IP6	centrosome	Centrosome
ARMC2	Moderate dot-like immunoreactivity was observed in the cytoplasm in a subset of cells in seminiferous ducts of testis. Cilia in fallopian tube and respiratory epithelia displayed weak to moderate positivity. Most remaining tissues were mainly negative.	Cilia
ARMC3	High expression in cilia of fallopian tube and airway epithelia.,Moderate to strong membranous staining was observed in ciliated cells of fallopian tube and airway epithelia. Weak cytoplasmic positivity was displayed in few normal tissues including testis.,Strong positivity was observed in cilia of fallopian tube and respiratory epithelia. Moderate cytoplasmic staining was displayed in testis and adrenal gland.	Cilia
ARMC4	Expression in cilia in fallopian tube and respiratory epithelia.,Cilia in respiratory epithelia and fallopian tube as well as the luminal membrane in small intestinal glands were moderately stained. Remaining normal tissues were negative.	Cilia
ARMCX1	Most of the normal tissues displayed moderate cytoplasmic positivity. Strong staining was observed in exocrine pancreas, adrenal cortex and Purkinje cells. Cilia in the respiratory tract and fallopian tubes were distinctly stained. Liver, cells in CNS and lymphoid tissues were generally negative.	Cilia
ASAP1	Localized to the plasma membrane, cytosol & centrosome.,centrosome,centrosome,centrosome	Centrosome
ATG5	Localized to the centrosome.,centrosome,centrosome	Centrosome
AUNIP	Localized to the centrosome.,centrosome,centrosome,centrosome	Centrosome
AURKA	Localized to the nucleoplasm, cytosol & centrosome.,centrosome,centrosome,centrosome	Centrosome
AURKC	Renal tubules and hepatocytes showed strong cytoplasmic staining while the parathyroid displayed strong cytoplasmic and membranous positivity. The gastrointestinal tract, seminiferus duct cells and cardiac myocytes exhibited moderate positivity. Pancreatic islet cells and ciliated cells showed moderate cytoplasmic and membranous staining. Remaining normal tissues were weakly stained or negative.	Cilia
AVEN	Mainly localized to the plasma membrane & actin filaments. In addition localized to the centrosome.,centrosome,centrosome	Centrosome
AXDND1	Selective expression in seminiferous ducts of testis and in cilia of fallopian tube and respiratory epithelia.,Moderate staining of most ciliated cells. Additional moderate cytoplasmic positivity was observed in thyroid gland and subset of cells in testis. Remaining tissues were negative.	Cilia
B9D2	Cytoplasmic expression at variable levels in several cell types. Also expressed in ciliated cells in fallopian tube.,Ciliated cells of respiratory epithelia and fallopian tube displayed distinct staining. Goblet cells in gastrointestinal tract, neuronal cells of CNS, tubular cells of kidney, exocrine pancreas and subset of cells in seminiferus ducts of testis showed weak to moderate cytoplasmic and occasional nuclear positivity. Remaining normal tissues were in general negative.	Cilia
BASP1	Cells of CNS except Purkinje cells, cilia in respiratory epithelium, lymphoid tissues, male genital, fibroblasts, uterus and placenta showed moderate to strong cytoplasmic positivity. Other normal tissues were in general negative.	Cilia
BBOF1	Expression in several tissues, including testis and ciliary rootlets in fallopian tube.	Cilia
BBS10	Ciliary expression in fallopian tube, endometrium and respiratory epithelial cells.,Ciliated cells of endometrium, respiratory epithelia and fallopian tube were strongly stained. Remaining normal tissues were negative.	Cilia
BBS2	Cytoplasmic expression in ciliated cells in several tissues.,Ciliated cells showed distinct cytoplasmic and membranous staining. Gastric chief cells displayed moderate cytoplasmic staining. Remaining normal tissues were negative.	Cilia
BBS7	Cytoplasmic expression in several tissues. Membranous expression in ciliated cells of fallopian tube and respiratory epithelia.,Subsets of immune cells and a fraction of cells in pancreas displayed strong cytoplasmic immunoreactivity. Subsets of trophoblasts, cells in gastric mucosa and skeletal muscle displayed moderate positivity. Moderate membranous staining was observed in ciliated cells of fallopian tube and respiratory epithelia. Remaining normal tissues were negative.	Cilia
BCAR3	Mainly localized to the plasma membrane & cytosol. In addition localized to the centrosome.,centrosome,centrosome	Centrosome
BCAS2	Localized to the nuclear speckles & centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
BCL3	Cells of placenta, glandular epithelia of the gastrointestinal tract and basal layers of squamous epithelia showed moderate to strong nuclear staining. Cilia of bronchus and epididymis were distinctly positive. Remaining normal tissues were in general negative.	Cilia
BEAN1	Mainly localized to the nucleoplasm. In addition localized to the centrosome.,centrosome,centrosome,centrosome	Centrosome
BHLHA15	Squamous epithelia displayed strong cytoplasmic positivity. Thyroid and urothelia were moderately stained. Exocrine pancreas, subsets of non-germinal center cells and salivary gland showed strong nuclear staining. Ciliated cells of respiratory epithelia and fallopian tube along with renal tubules exhibited moderate to strong membrane immunoreactivity. Remaining normal cells were negative.	Cilia
BHLHE22	Subset of cells in CNS, seminiferous ducts and ovarian follicle cells showed moderate to strong nuclear staining in subset of cells. Additional strong cilia staining was observed in fallopian tube and respiratory epithelia. Skin shows cytoplasmic staining. Remaining normal tissues were weakly stained or negative.	Cilia
BIRC7	Mainly localized to the nucleoplasm. In addition localized to the cytosol & centrosome.,centrosome,centrosome,centrosome	Centrosome
BORCS6	Mainly localized to the cytosol. In addition localized to the centrosome.,centrosome,centrosome	Centrosome
BRMS1	Localized to the centrosome.,centrosome,centrosome,centrosome	Centrosome
BTG3	Cytoplasmic expression in most tissues, including ciliated cells in fallopian tube.	Cilia
BUD31	Mainly localized to the nucleoplasm. In addition localized to the centrosome & microtubules.,centrosome,centrosome	Centrosome
C10orf67	Moderate cytoplasmic and/or membranous positivity was displayed in gastrointestinal glands, gallbladder, nasopharynx, renal tubules and cilia in fallopian tube. Cells of seminiferus ducts of testis showed moderate nuclear staining. Remaining normal tissues were weakly stained or negative.	Cilia
C11orf1	Monocyte derived cells for example kupffer cells and microglia showed distinct positivity. Cilia in the respiratory epithelia and fallopian tubes showed moderate staining. Renal glomeruli displayed moderate membranous positivity. Remaining normal cells were mainly negative.	Cilia
C11orf70	Expression in cilia of fallopian tube and cytoplasmic expression in seminiferous ducts.,Ciliated cells in fallopian tube and bronchus showed moderate membranous positivity, while subsets of hematopoietic cells and lymphocytes displayed cytoplasmic immunoreactivity. Remaining tissues were weakly stained or negative.<br>Localized to the centrosome.,centrosome,centrosome,centrosome<br>Expression in cilia of fallopian tube and cytoplasmic expression in seminiferous ducts.,Ciliated cells in fallopian tube and bronchus showed moderate membranous positivity, while subsets of hematopoietic cells and lymphocytes displayed cytoplasmic immunoreactivity. Remaining tissues were weakly stained or negative.<br>Localized to the centrosome.,centrosome,centrosome,centrosome	Cilia<br>Cilia<br>Centrosome<br>Centrosome
C11orf80	Localized to the centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
C12orf73	Mainly localized to the mitochondria & centrosome. In addition localized to the plasma membrane.,centrosome,centrosome,centrosome,centrosome	Centrosome
C12orf75	Normal tissues showed weak to moderate cytoplasmic staining. Leydig cells, thyroid, adipocytes and renal tubules showed strong positivity. Cilia in respiratory epithelia and fallopian tube were strongly stained. Pneumocytes, hepatocytes, cells in glomeruli, placenta, cells in white pulp and the lymphoid tissues were negative.	Cilia
C15orf65	Most of the normal tissue displayed moderate cytoplasmic staining additional membranous positivity was exhibited by cardiomyocytes and uterine glands. Cilia in respiratory epithelia and fallopian tube were distinctly stained. Exocrine pancreas and ovarian follicles were strongly stained. Lymphoid and skin  tissues were negative.	Cilia
C16orf74	Mainly localized to the plasma membrane. In addition localized to the centrosome.,centrosome,centrosome,centrosome	Centrosome
C16orf89	Strong extracellular staining was observed in thyroid gland. Distinct cilia positivity was displayed in respiratory epithelia, fallopian tube and endometrium. Epididymis displayed moderate cytoplasmic positivity. Remaining tissues were mainly negative.	Cilia
C17orf97	Cytoplasmic expression in most tissues, most abundant in ciliated cells of fallopian tube and seminiferous ducts of testis.	Cilia
C1orf194	Distinct expression in sperm and in cilia of fallopian tube and respiratory epithelia.,Cilia in respiratory epithelia and fallopian tube showed moderate to strong staining. A subset of cells in exocrine pancreas and seminal vesicle displayed moderate cytoplasmic positivity. A subset of urothelial cells exhibited weak nuclear immunoreactivity. Remaining normal tissues were negative.	Cilia
C1orf87	Selective expression in cilia of fallopian tube and airway epithelia.,Cilia in respiratory epithelia and fallopian tubes displayed strong staining. A subset of glands in prostate showed granular cytoplasmic positivity. Remaining normal tissues were generally negative.,Strong staining was observed in ciliated cells of respiratory epithelium, fallopian tube and endometrium. Subsets of cells in esophagus, exocrine pancreas, renal tubules and seminiferous ducts showed distinct cytoplasmic positivity. Normal tissues in general were negative.	Cilia
C1QTNF2	Localized to the Golgi apparatus & centrosome.,centrosome,centrosome,centrosome	Centrosome
C20orf85	Selective expression in cilia.,Distinct expression was observed in cilia. Remaining normal tissues were in general weakly stained, in rare cases with additional nucleolar positivity. ,Cilia in fallopian tube and respiratory epithelia was moderately stained. Skeletal myocytes showed moderate cytoplasmic positivity.  Remaining normal tissues were weakly stained or negative.	Cilia
C21orf33	Mainly localized to the mitochondria. In addition localized to the centrosome.Caution: Based on antibodies targeting proteins from multiple genes.,centrosome,centrosome,centrosome	Centrosome
C2CD4C	Gall bladder, cardiac myocytes, stomach and a subset of renal tubules showed moderate cytoplasmic staining. A subset of cilia in respiratory epithelia displayed moderate to strong positivity. Remaining normal tissues were negative.	Cilia
C2orf50	Cilia of bronchus shows moderate positivity while in fallopian tube displayed  strong positivity. Other normal tissues were negative.<br>Selective expression in cilium.<br>Cilia of bronchus shows moderate positivity while in fallopian tube displayed  strong positivity. Other normal tissues were negative.<br>Selective expression in cilium.	Cilia<br>Cilia<br>Cilium<br>Cilium
C2orf74	Localized to the centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
C2orf81	Cytoplasmic and membranous expression in ciliated cells in fallopian tube.,Moderate cytoplasmic and membranous staining was observed in ciliated cells in fallopian tube and endometrium. Most other normal tissues were negative.	Cilia
C3orf30	Strong cytoplasmic staining was observed in spermatids in testis. Additional positivity was displayed in cilia in fallopian tube, endometrial glands and bronchus.	Cilia
C3orf80	Cilia in fallopian tube and respiratory epithelia showed distinct staining. Purkinje cells, chondrocytes, fibroblasts and decidua exhibited weak cytoplasmic positivity. Remaining normal tissues were negative.	Cilia
C4orf17	Cilia in the fallopian tubes and bronchus were distinctly stained. Remaining normal tissues were negative.	Cilia
