Gene_name,row_names,Publication,Gene_ID,Pub_number
ABCA13,69,Alexander E. Ivliev et al,ABCA13,8
ABCA13,70,Mayer et al. 2009,ABCA13,19
ABCA13,71,Ross et al.,ABCA13,22
ABCA13,72,SYSCILIA Gold Standard (van Dam TJ et al.),ABCA13,24
ABCA13,73,Geremek M. et al. 2014,ABCA13,42
ABCA2,74,Geremek M. et al. 2014,ABCA2,42
ABCA3,75,Kilburn et al.,ABCA3,1
ABCA3,76,Efimenko et al.,ABCA3,2
ABCA3,77,McClintock et al.,ABCA3,29
ABCA3,78,Monika-Abedin-Sigg et al.,ABCA3,30
ABCA4,79,Laurençon et al.,ABCA4,7
ABCA4,80,Cilia Carta (TJP van Dam et al.),ABCA4,13
ABCA4,81,GO CC Cilium,ABCA4,15
ABCA4,82,Liu et al.,ABCA4,28
ABCA4,83,Monika-Abedin-Sigg et al.,ABCA4,30
ABCA5,84,Alexander E. Ivliev et al,ABCA5,8
ABCA5,85,Ross et al.,ABCA5,22
ABCA5,86,Monika-Abedin-Sigg et al.,ABCA5,30
ABCA8,87,Liu et al.,ABCA8,28
ABCA8,88,Lauwaet T. et al.,GL50803_21411-t26_1,40
ABCA9,89,Lambacher N. et al.,ABCA9,17
ABCB1,90,Efimenko et al.,ABCB1,2
ABCB1,91,Phirke et al.,ABCB1,3
ABCB1,92,Chen et al.,ABCB1,12
ABCB1,93,Gabrielle Wheway,ABCB1,27
ABCB1,94,McClintock et al.,ABCB1,29
ABCB1,95,Monika-Abedin-Sigg et al.,ABCB1,30
ABCB1,96,Yano J. et al.,ABCB1,50
ABCB1,97,Blacque et al._xbox,C34G6.4,54
ABCB1,98,Blacque et al._xbox,DH11.3,54
ABCB10,99,Efimenko et al.,ABCB10,2
ABCB10,100,Alexander E. Ivliev et al,ABCB10,8
ABCB10,101,Gabrielle Wheway,ABCB10,27
ABCB10,102,McClintock et al.,ABCB10,29
ABCB10,103,Geremek M. et al. 2011,ABCB10,41
ABCB4,104,Monika-Abedin-Sigg et al.,ABCB4,30
ABCB6,105,Avidor-Reiss et al.,ABCB6,4
ABCB6,106,Gabrielle Wheway,ABCB6,27
ABCB6,107,McClintock et al.,ABCB6,29
ABCB6,108,Mayer et al. 2008,ABCB6,51
ABCB8,109,Liu et al.,ABCB8,28
ABCB9,110,Phirke et al.,ABCB9,3
ABCB9,111,Blacque et al._xbox,Y57G11C.1,54
ABCB9,112,Blacque et al._xbox,F43E2.4,54
ABCC1,113,Mayer et al. 2009,ABCC1,19
ABCC1,114,McClintock et al.,ABCC1,29
ABCC1,115,Fritz-Laylin L.K. et Cande,ABCC1,49
ABCC1,116,Blacque et al._xbox,E03G2.2,54
ABCC11,117,Efimenko et al.,ABCC11,2
ABCC2,118,Alexander E. Ivliev et al,ABCC2,8
ABCC2,119,Gabrielle Wheway,ABCC2,27
ABCC3,120,Blacque et al._xbox,Y43F8C.12,54
ABCC4,121,McClintock et al.,ABCC4,29
ABCC4,122,Lauwaet T. et al.,GL50803_115052-t26_1,40
ABCC4,123,Yano J. et al.,ABCC4,50
ABCC6,124,Alexander E. Ivliev et al,ABCC6,8
ABCC6,125,Ross et al.,ABCC6,22
ABCC6,126,Geremek M. et al. 2011,ABCC6,41
ABCC6,127,Geremek M. et al. 2014,ABCC6,42
ABCC6P1,128,Ross et al.,ABCC6P1,22
ABCC6P2,129,Ross et al.,ABCC6P2,22
ABCD2,130,Alexander E. Ivliev et al,ABCD2,8
ABCD2,131,Liu et al.,ABCD2,28
ABCD2,132,Mayer et al. 2008,ABCD2,51
ABCD3,133,Karsten Boldt et al.,ABCD3,16
ABCD3,134,Liu et al.,ABCD3,28
ABCD3,135,Mayer et al. 2008,ABCD3,51
ABCE1,136,Andersen et al.,NP_002931,9
ABCE1,137,Gabrielle Wheway,ABCE1,27
ABCE1,138,Ishikawa H. et al,ABCE1,48
ABCF1,139,Karsten Boldt et al.,ABCF1,16
ABCF1,140,Liu et al.,ABCF1,28
ABCF1,141,McClintock et al.,ABCF1,29
ABCF1,142,Marshall et al.,Abcf1,55
ABCF2,143,Hannah Müller et al.,ABCF2,6
ABCF2,144,Pazour et al.,ABCF2,21
ABCF2,145,Liu et al.,ABCF2,28
ABCF2,146,McClintock et al.,ABCF2,29
ABCF2,147,Marshall et al.,Abcf2,55
ABCF2,148,Keller et al.,NP_009120.,33
ABCF3,149,Liu et al.,ABCF3,28
ABCF3,150,McClintock et al.,ABCF3,29
ABCG1,151,Laurençon et al.,ABCG1,7
ABCG1,152,McClintock et al.,ABCG1,29
ABCG2,153,Semil P. Choksi et al.,ABCG2,23
ABCG2,154,SYSCILIA Gold Standard (van Dam TJ et al.),ABCG2,24
ABCG2,155,Fritz-Laylin L.K. et Cande,ABCG2,49
ABCG2,156,Yano J. et al.,ABCG2,50
ABCG2,157,Blacque et al._xbox,Y47D3A.11,54
ABCG4,158,Laurençon et al.,ABCG4,7
ABCG5,159,Blacque et al._xbox,C56E6.1,54
ABCG8,160,Chen et al.,ABCG8,12
ABHD1,161,Fritz-Laylin L.K. et Cande,ABHD1,49
ABHD1,162,Arnaiz O. et al.,GSPATT00020730001,53
ABHD10,163,Liu et al.,ABHD10,28
ABHD10,164,Marshall et al.,Abhd10,55
ABHD11,165,Kilburn et al.,ABHD11,1
ABHD12,166,Liu et al.,ABHD12,28
ABHD12,167,McClintock et al.,ABHD12,29
ABHD12,168,Arnaiz O. et al.,GSPATT00006662001,53
ABHD12B,169,Alexander E. Ivliev et al,ABHD12B,8
ABHD12B,170,Ross et al.,ABHD12B,22
ABHD12B,171,Geremek M. et al. 2011,ABHD12B,41
ABHD13,172,Ross et al.,ABHD13,22
ABHD14A,173,Alexander E. Ivliev et al,ABHD14A,8
ABHD14A,174,McClintock et al.,ABHD14A,29
ABHD14A,175,Ramona A. Hoh et al.,ABHD14A,31
ABHD14A,176,Marshall et al.,Abhd14a,55
ABHD14B,177,Liu et al.,ABHD14B,28
ABHD17B,178,Chen et al.,ABHD17B,12
ABHD17B,179,Blacque et al._xbox,F01D5.8,54
ABHD18,180,McClintock et al.,ABHD18,29
ABHD18,181,Blacque et al._xbox,C54G4.7,54
ABHD3,182,Alexander E. Ivliev et al,ABHD3,8
ABHD4,183,McClintock et al.,ABHD4,29
ABHD4,184,Blacque et al._xbox,C25A1.12,54
ABHD5,185,Ross et al.,ABHD5,22
ABHD6,186,Alexander E. Ivliev et al,ABHD6,8
ABHD6,187,Bayesian (TJP van Dam et al.),ABHD6,11
ABHD6,188,Cilia Carta (TJP van Dam et al.),ABHD6,13
ABHD6,189,Ross et al.,ABHD6,22
ABHD6,190,Liu et al.,ABHD6,28
ABHD6,191,Yano J. et al.,ABHD6,50
ABHEB,192,David U. Mick et al.,ABHEB,26
ABI1,193,Karsten Boldt et al.,ABI1,16
ABI1,194,Liu et al.,ABI1,28
ABI2,195,Alexander E. Ivliev et al,ABI2,8
ABI2,196,Lambacher N. et al.,ABI2,17
ABI2,197,Marshall et al.,Abi2,55
ABI3BP,198,Ross et al.,ABI3BP,22
ABITRAM,10847,Alexander E. Ivliev et al,FAM206A,8
ABITRAM,10848,Geremek M. et al. 2011,FAM206A,41
ABITRAM,10849,Yano J. et al.,FAM206A,50
ABLIM1,199,Cilia Carta (TJP van Dam et al.),ABLIM1,13
ABLIM1,200,GO CC Cilium,ABLIM1,15
ABLIM1,201,Karsten Boldt et al.,ABLIM1,16
ABLIM1,202,Ross et al.,ABLIM1,22
ABLIM1,203,Liu et al.,ABLIM1,28
ABLIM1,204,McClintock et al.,ABLIM1,29
ABLIM2,205,Liu et al.,ABLIM2,28
ABLIM3,206,Cilia Carta (TJP van Dam et al.),ABLIM3,13
ABLIM3,207,GO CC Cilium,ABLIM3,15
ABLIM3,208,Ross et al.,ABLIM3,22
ABO,209,Alexander E. Ivliev et al,ABO,8
ABO,210,Ross et al.,ABO,22
ABRA,211,Chen et al.,ABRA,12
ABRACL,212,Monika-Abedin-Sigg et al.,ABRACL,30
ABRACL,213,Arnaiz O. et al.,GSPATT00021163001,53
ABRAXAS1,214,Alexander E. Ivliev et al,ABRAXAS1,8
ABT1,215,Efimenko et al.,ABT1,2
ABT1,216,McClintock et al.,ABT1,29
ABTB1,217,McClintock et al.,ABTB1,29
AC002365.1,218,Semil P. Choksi et al.,AC002365.1,23
AC004034.1,219,Hannah Müller et al.,AC004034.1,6
AC004086.1,220,Hannah Müller et al.,AC004086.1,6
AC005393.1,221,Hannah Müller et al.,AC005393.1,6
AC006226.1,222,Hannah Müller et al.,AC006226.1,6
AC008038.1,223,Hannah Müller et al.,AC008038.1,6
AC008038.1,224,SYSCILIA Gold Standard (van Dam TJ et al.),AC008038.1,24
AC010385.1,225,Hannah Müller et al.,AC010385.1,6
AC010468.1,226,Hannah Müller et al.,AC010468.1,6
AC010619.2,227,Hannah Müller et al.,AC010619.2,6
AC010724.8,228,Hannah Müller et al.,AC010724.8,6
AC011841.5,229,Hannah Müller et al.,AC011841.5,6
AC013461.1,230,Efimenko et al.,AC013461.1,2
AC013461.1,231,Phirke et al.,AC013461.1,3
AC013725.1,232,Hannah Müller et al.,AC013725.1,6
AC016629.3,233,Hannah Müller et al.,AC016629.3,6
AC021593.1,234,Hannah Müller et al.,AC021593.1,6
AC026403.1,235,Hannah Müller et al.,AC026403.1,6
AC026410.3,236,Hannah Müller et al.,AC026410.3,6
AC078867.1,237,Hannah Müller et al.,AC078867.1,6
AC079322.1,238,Hannah Müller et al.,AC079322.1,6
AC079857.3,239,Hannah Müller et al.,AC079857.3,6
AC090287.2,240,Hannah Müller et al.,AC090287.2,6
AC091172.1,241,SYSCILIA Gold Standard (van Dam TJ et al.),AC091172.1,24
AC093768.1,242,Hannah Müller et al.,AC093768.1,6
AC096571.1,243,Hannah Müller et al.,AC096571.1,6
AC096766.1,244,Hannah Müller et al.,AC096766.1,6
AC104809.3,245,Semil P. Choksi et al.,AC104809.3,23
AC104852.1,246,Hannah Müller et al.,AC104852.1,6
AC105049.1,247,Hannah Müller et al.,AC105049.1,6
AC113211.1,248,Hannah Müller et al.,AC113211.1,6
AC116968.1,249,Hannah Müller et al.,AC116968.1,6
AC132812.1,250,Hannah Müller et al.,AC132812.1,6
AC139099.1,251,Hannah Müller et al.,AC139099.1,6
AC243756.1,252,Kilburn et al.,AC243756.1,1
ACAA1,253,Kilburn et al.,ACAA1,1
ACAA1,254,Gabrielle Wheway,ACAA1,27
ACAA1,255,Liu et al.,ACAA1,28
ACAA2,256,Alexander E. Ivliev et al,ACAA2,8
ACAA2,257,Ross et al.,ACAA2,22
ACAA2,258,Gabrielle Wheway,ACAA2,27
ACAA2,259,Monika-Abedin-Sigg et al.,ACAA2,30
ACACA,260,Pazour et al.,ACACA,21
ACACA,261,Liu et al.,ACACA,28
ACACA,262,Ishikawa H. et al,ACACA,48
ACACB,263,Efimenko et al.,ACACB,2
ACAD10,264,Phirke et al.,ACAD10,3
ACAD10,265,Liu et al.,ACAD10,28
ACAD10,266,Blacque et al._xbox,F37H8.3,54
ACAD11,267,Alexander E. Ivliev et al,ACAD11,8
ACAD11,268,Fritz-Laylin L.K. et Cande,ACAD11,49
ACAD9,269,Karsten Boldt et al.,ACAD9,16
ACADL,270,Alexander E. Ivliev et al,ACADL,8
ACADL,271,Monika-Abedin-Sigg et al.,ACADL,30
ACADL,272,Nakachi M. et al.,XP_002126870,39
ACADM,273,SYSCILIA Gold Standard (van Dam TJ et al.),ACADM,24
ACADM,274,Monika-Abedin-Sigg et al.,ACADM,30
ACADM,275,Blacque et al._xbox,T08G2.3,54
ACADS,276,Phirke et al.,ACADS,3
ACADS,277,Monika-Abedin-Sigg et al.,ACADS,30
ACADS,278,Nogales-Cadenas R. et al.,ENSG00000122971,46
ACADS,279,Blacque et al._xbox,C02D5.1,54
ACADSB,280,Efimenko et al.,ACADSB,2
ACADSB,281,Chen et al.,ACADSB,12
ACADSB,282,Ross et al.,ACADSB,22
ACADSB,283,SYSCILIA Gold Standard (van Dam TJ et al.),ACADSB,24
ACADSB,284,McClintock et al.,ACADSB,29
ACADSB,285,Blacque et al._xbox,K06A5.6,54
ACAN,286,Phirke et al.,ACAN,3
ACAN,287,Broadhead et al.,ACAN,32
ACAN,288,Blacque et al._xbox,T19E7.1,54
ACAP1,289,Alexander E. Ivliev et al,ACAP1,8
ACAP2,290,Karsten Boldt et al.,ACAP2,16
ACAP2,291,McClintock et al.,ACAP2,29
ACAP2,292,Blacque et al._xbox,Y17G7B.15a,54
ACAT1,293,Kilburn et al.,ACAT1,1
ACAT1,294,SYSCILIA Gold Standard (van Dam TJ et al.),ACAT1,24
ACAT1,295,Monika-Abedin-Sigg et al.,ACAT1,30
ACBD3,299,Mayer et al. 2009,ACBD3,19
ACBD3,300,McClintock et al.,ACBD3,29
ACBD3,301,Mayer et al. 2008,ACBD3,51
ACBD3,302,Blacque et al._xbox,Y41E3.7,54
ACBD4,303,Kilburn et al.,ACBD4,1
ACBD5,304,Liu et al.,ACBD5,28
ACBD7,305,Marshall et al.,Acbd7,55
ACCS,306,Alexander E. Ivliev et al,ACCS,8
ACCS,307,Monika-Abedin-Sigg et al.,ACCS,30
ACD,308,Gabrielle Wheway,ACD,27
ACE,309,Mayer et al. 2009,ACE,19
ACE,310,Monika-Abedin-Sigg et al.,ACE,30
ACE,311,Mayer et al. 2008,ACE,51
ACE2,312,Ross et al.,ACE2,22
ACER2,313,McClintock et al.,ACER2,29
ACER2,314,Blacque et al._xbox,W02F12.2,54
ACIN1,315,Pazour et al.,ACIN1,21
ACIN1,316,Gabrielle Wheway,ACIN1,27
ACKR1,317,Gabrielle Wheway,ACKR1,27
ACKR2,318,Gabrielle Wheway,ACKR2,27
ACKR3,319,Gabrielle Wheway,ACKR3,27
ACKR4,320,Alexander E. Ivliev et al,ACKR4,8
ACLY,321,Andersen et al.,ACLY,9
ACLY,322,Andersen et al.,ACLY,9
ACLY,323,Ross et al.,ACLY,22
ACLY,324,David U. Mick et al.,ACLY,26
ACLY,325,Gabrielle Wheway,ACLY,27
ACLY,326,Liu et al.,ACLY,28
ACMSD,327,Phirke et al.,ACMSD,3
ACMSD,328,Monika-Abedin-Sigg et al.,ACMSD,30
ACO1,329,Kilburn et al.,ACO1,1
ACO1,330,Monika-Abedin-Sigg et al.,ACO1,30
ACO1,331,Fritz-Laylin L.K. et Cande,ACO1,49
ACO2,332,Monika-Abedin-Sigg et al.,ACO2,30
ACOD1,333,David U. Mick et al.,ACOD1,26
ACOD2,334,David U. Mick et al.,ACOD2,26
ACOT1,335,Ramona A. Hoh et al.,ACOT1,31
ACOT11,336,Liu et al.,ACOT11,28
ACOT12,337,McClintock et al.,ACOT12,29
ACOT13,338,Fritz-Laylin L.K. et Cande,ACOT13,49
ACOT2,339,Ramona A. Hoh et al.,ACOT2,31
ACOT6,340,Gabrielle Wheway,ACOT6,27
ACOT7,341,Ross et al.,ACOT7,22
ACOT7,342,Liu et al.,ACOT7,28
ACOT7,343,Marshall et al.,Acot7,55
ACOT8,344,Efimenko et al.,ACOT8,2
ACOT8,345,Liu et al.,ACOT8,28
ACOT8,346,Blacque et al._xbox,Y87G2A.2,54
ACOT9,347,Kilburn et al.,ACOT9,1
ACOT9,348,SYSCILIA Gold Standard (van Dam TJ et al.),ACOT9,24
ACOT9,349,David U. Mick et al.,ACOT9,26
ACOX1,350,Phirke et al.,ACOX1,3
ACOX1,351,Chen et al.,ACOX1,12
ACOX1,352,Liu et al.,ACOX1,28
ACOX1,353,Blacque et al._xbox,F08A8.3,54
ACOX2,354,Gabrielle Wheway,ACOX2,27
ACOX2,355,Ramona A. Hoh et al.,ACOX2,31
ACP1,356,Alexander E. Ivliev et al,ACP1,8
ACP1,357,Liu et al.,ACP1,28
ACP1,358,Monika-Abedin-Sigg et al.,ACP1,30
ACP2,359,Blacque et al._xbox,F07H5.9,54
ACP3,365,Efimenko et al.,ACPP,2
ACP3,366,Blacque et al._xbox,F26C11.1,54
ACP3,367,Blacque et al._xbox,F14E5.3,54
ACP3,368,Blacque et al._xbox,EGAP2.3,54
ACP4,360,Blacque et al._xbox,F14E5.6,54
ACP5,361,Ross et al.,ACP5,22
ACP7,362,McClintock et al.,ACP7,29
ACP7,363,Monika-Abedin-Sigg et al.,ACP7,30
ACP7,364,Blacque et al._xbox,F21A3.2,54
ACRBP,369,Marshall et al.,Acrbp,55
ACSBG1,370,Kilburn et al.,ACSBG1,1
ACSBG1,371,Alexander E. Ivliev et al,ACSBG1,8
ACSBG1,372,Geremek M. et al. 2014,ACSBG1,42
ACSF2,373,Phirke et al.,ACSF2,3
ACSF2,374,Chen et al.,ACSF2,12
ACSF2,375,Monika-Abedin-Sigg et al.,ACSF2,30
ACSF2,376,Blacque et al._xbox,F47G6.2,54
ACSF2,377,Blacque et al._xbox,ZK1127.2,54
ACSF3,378,Monika-Abedin-Sigg et al.,ACSF3,30
ACSF3,379,Lauwaet T. et al.,GL50803_113892-t26_1,40
ACSF3,380,Blacque et al._xbox,C50H11.1,54
ACSL1,381,Alexander E. Ivliev et al,ACSL1,8
ACSL1,382,Karsten Boldt et al.,ACSL1,16
ACSL1,383,Monika-Abedin-Sigg et al.,ACSL1,30
ACSL1,384,Fritz-Laylin L.K. et Cande,ACSL1,49
ACSL1,385,Mayer et al. 2008,ACSL1,51
ACSL3,386,Andersen et al.,ACSL3,9
ACSL3,387,Andersen et al.,ACSL3,9
ACSL3,388,Karsten Boldt et al.,ACSL3,16
ACSL3,389,Liu et al.,ACSL3,28
ACSL4,390,Phirke et al.,ACSL4,3
ACSL4,391,Liu et al.,ACSL4,28
ACSL4,392,Fritz-Laylin L.K. et Cande,ACSL4,49
ACSL5,393,Kilburn et al.,ACSL5,1
ACSL5,394,Alexander E. Ivliev et al,ACSL5,8
ACSL5,395,Ross et al.,ACSL5,22
ACSL5,396,Lauwaet T. et al.,GL50803_9062-t26_1,40
ACSL6,397,Liu et al.,ACSL6,28
ACSL6,398,Mayer et al. 2008,ACSL6,51
ACSM1,399,Marshall et al.,Acsm1,55
ACSM3,400,Fritz-Laylin L.K. et Cande,ACSM3,49
ACSS2,401,Laurençon et al.,ACSS2,7
ACSS3,402,Kilburn et al.,ACSS3,1
ACSS3,403,Fritz-Laylin L.K. et Cande,ACSS3,49
ACTA1,404,David U. Mick et al.,ACTA,26
ACTA1,405,Andersen et al.,ACTA1,9
ACTA1,406,Andersen et al.,ACTA1,9
ACTA1,407,Liu et al.,ACTA1,28
ACTA2,408,Ross et al.,ACTA2,22
Actb,409,Ostrowski et al.,Q61276,20
Actb,410,Ostrowski et al.,X03765,20
ACTB,411,Hannah Müller et al.,ACTB,6
ACTB,412,Andersen et al.,ACTB,9
ACTB,413,Andersen et al.,ACTB,9
ACTB,414,Gabrielle Wheway,ACTB,27
ACTB,415,Liu et al.,ACTB,28
ACTB,416,McClintock et al.,ACTB,29
ACTB,417,Broadhead et al.,ACTB,32
ACTB,418,Lauwaet T. et al.,GL50803_40817-t26_1,40
ACTB,419,Fritz-Laylin L.K. et Cande,ACTB,49
ACTB,420,Nakachi M. et al.,ABD14151,39
ACTB,421,Nakachi M. et al.,XP_002125803,39
ACTBL2,422,Hannah Müller et al.,ACTBL2,6
ACTBL2,423,Karsten Boldt et al.,ACTBL2,16
ACTBL2,424,Liu et al.,ACTBL2,28
ACTC1,425,David U. Mick et al.,ACTC,26
ACTC1,426,Broadhead et al.,ACTC1,32
ACTG1,427,Kilburn et al.,ACTG1,1
ACTG1,428,Hannah Müller et al.,ACTG1,6
ACTG1,429,Laurençon et al.,ACTG1,7
ACTG1,430,Andersen et al.,ACTG1,9
ACTG1,431,Andersen et al.,ACTG1,9
ACTG1,432,Mayer et al. 2009,ACTG1,19
ACTG1,433,Pazour et al.,ACTG1,21
ACTG1,434,McClintock et al.,ACTG1,29
ACTG1,435,Broadhead et al.,ACTG1,32
ACTG1,436,Fritz-Laylin L.K. et Cande,ACTG1,49
ACTG1,437,Mayer et al. 2008,ACTG1,51
ACTG1,438,Nakachi M. et al.,XP_002125803,39
ACTG1P4,439,Ross et al.,ACTG1P4,22
ACTG2,440,Fritz-Laylin L.K. et Cande,ACTG2,49
ACTL6A,441,Monika-Abedin-Sigg et al.,ACTL6A,30
ACTL6A,442,Kim J. et al.,ACTL6A,44
ACTL6B,443,Gabrielle Wheway,ACTL6B,27
ACTL7A,444,Cilia Carta (TJP van Dam et al.),ACTL7A,13
ACTL7A,445,GO CC Cilium,ACTL7A,15
ACTL7B,446,Marshall et al.,Actl7b,55
ACTN1,447,Karsten Boldt et al.,ACTN1,16
ACTN1,448,Mayer et al. 2009,ACTN1,19
ACTN1,449,Ross et al.,ACTN1,22
ACTN1,450,David U. Mick et al.,ACTN1,26
ACTN1,451,Liu et al.,ACTN1,28
ACTN1,452,McClintock et al.,ACTN1,29
ACTN1,453,Fritz-Laylin L.K. et Cande,ACTN1,49
ACTN1,454,Mayer et al. 2008,ACTN1,51
ACTN2,455,Semil P. Choksi et al.,ACTN2,23
ACTN2,456,Gabrielle Wheway,ACTN2,27
ACTN2,457,Boesger J et al.,ACTN2,37
ACTN3,458,Liu et al.,ACTN3,28
ACTN4,459,Karsten Boldt et al.,ACTN4,16
ACTN4,460,Mayer et al. 2009,ACTN4,19
ACTN4,461,David U. Mick et al.,ACTN4,26
ACTN4,462,Gabrielle Wheway,ACTN4,27
ACTN4,463,Liu et al.,ACTN4,28
ACTN4,464,Mayer et al. 2008,ACTN4,51
ACTR10,465,Karsten Boldt et al.,ACTR10,16
ACTR10,466,Liu et al.,ACTR10,28
ACTR10,467,Nogales-Cadenas R. et al.,ENSG00000131966,46
ACTR1A,468,Andersen et al.,ACTR1A,9
ACTR1A,469,Andersen et al.,ACTR1A,9
ACTR1A,470,Karsten Boldt et al.,ACTR1A,16
ACTR1A,471,Mayer et al. 2009,ACTR1A,19
ACTR1A,472,SYSCILIA Gold Standard (van Dam TJ et al.),ACTR1A,24
ACTR1A,473,Liu et al.,ACTR1A,28
ACTR1A,474,Nogales-Cadenas R. et al.,ENSG00000138107,46
ACTR1B,475,Karsten Boldt et al.,ACTR1B,16
ACTR1B,476,Liu et al.,ACTR1B,28
ACTR1B,477,Nogales-Cadenas R. et al.,ENSG00000115073,46
ACTR2,478,Cilia Carta (TJP van Dam et al.),ACTR2,13
ACTR2,479,GO CC Cilium,ACTR2,15
ACTR2,480,Liu et al.,ACTR2,28
ACTR2,481,Monika-Abedin-Sigg et al.,ACTR2,30
ACTR2,482,Fritz-Laylin L.K. et Cande,ACTR2,49
ACTR3,483,Karsten Boldt et al.,ACTR3,16
ACTR3,484,Semil P. Choksi et al.,ACTR3,23
ACTR3,485,Liu et al.,ACTR3,28
ACTR3,486,Monika-Abedin-Sigg et al.,ACTR3,30
ACTR3,487,Fritz-Laylin L.K. et Cande,ACTR3,49
ACTR3B,488,Alexander E. Ivliev et al,ACTR3B,8
ACTR3B,489,Liu et al.,ACTR3B,28
ACTR5,490,Hannah Müller et al.,ACTR5,6
ACTR6,491,Alexander E. Ivliev et al,ACTR6,8
ACTR6,492,Marshall et al.,Actr6,55
ACVR1,493,Alexander E. Ivliev et al,ACVR1,8
ACVR1B,494,Marshall et al.,Acvr1b,55
ACVR2A,495,McClintock et al.,ACVR2A,29
ACVR2B,496,Gabrielle Wheway,ACVR2B,27
ACY1,497,Gabrielle Wheway,ACY1,27
ACY1,498,Monika-Abedin-Sigg et al.,ACY1,30
ACYP1,499,Alexander E. Ivliev et al,ACYP1,8
ACYP1,500,Li et al.,ACYP1,18
ACYP1,501,Ramona A. Hoh et al.,ACYP1,31
ACYP1,502,Geremek M. et al. 2011,ACYP1,41
ACYP1,503,Marshall et al.,Acyp1,55
ACYP2,504,Alexander E. Ivliev et al,ACYP2,8
ADA,505,Ross et al.,ADA,22
ADA2,5314,Laurençon et al.,CECR1,7
ADAM10,506,Phirke et al.,ADAM10,3
ADAM10,507,McClintock et al.,ADAM10,29
ADAM10,508,Blacque et al._xbox,DY3.7,54
ADAM15,509,Efimenko et al.,ADAM15,2
ADAM15,510,Gabrielle Wheway,ADAM15,27
ADAM15,511,Marshall et al.,Adam15,55
ADAM17,512,Bechstedt et al.,ADAM17,5
ADAM17,513,Monika-Abedin-Sigg et al.,ADAM17,30
ADAM17,514,Marshall et al.,Adam17,55
ADAM20,515,Gabrielle Wheway,ADAM20,27
ADAM22,516,Alexander E. Ivliev et al,ADAM22,8
ADAM22,517,Ramona A. Hoh et al.,ADAM22,31
