Gene1ID	Gene1Symbol	Gene2Symbol	Gene1SpeciesName
1302962	Mug2	A2ML1	Rattus norvegicus
99836	Mug2	A2ML1	Mus musculus
99837	Mug1	A2ML1	Mus musculus
727913	A3galt2	A3GALT2	Rattus norvegicus
2685279	A3galt2	A3GALT2	Mus musculus
621583	A4galt	A4GALT	Rattus norvegicus
3512453	A4galt	A4GALT	Mus musculus
FBgn0031491	α4GT1	A4GALT	Drosophila melanogaster
FBgn0039378	α4GT2	A4GNT	Drosophila melanogaster
2143261	A4gnt	A4GNT	Mus musculus
1590210	A4gnt	A4GNT	Rattus norvegicus
1308701	Aaas	AAAS	Rattus norvegicus
2443767	Aaas	AAAS	Mus musculus
FBgn0030122	Aladin	AAAS	Drosophila melanogaster
ZDB-GENE-030912-4	aaas	AAAS	Danio rerio
WBGene00006351	sur-5	AACS	Caenorhabditis elegans
ZDB-GENE-040426-903	aacs	AACS	Danio rerio
1926144	Aacs	AACS	Mus musculus
708522	Aacs	AACS	Rattus norvegicus
631440	Aadac	AADAC	Rattus norvegicus
1915008	Aadac	AADAC	Mus musculus
ZDB-GENE-130530-713	aadac	AADAC	Danio rerio
WBGene00012810	nceh-1	AADAC	Caenorhabditis elegans
6498016	LOC100910567	AADACL2	Rattus norvegicus
3646333	Aadacl2	AADACL2	Mus musculus
WBGene00012810	nceh-1	AADACL2	Caenorhabditis elegans
1563257	Aadacl3	AADACL3	Rattus norvegicus
2685281	Aadacl3	AADACL3	Mus musculus
WBGene00011642	T09B9.1	AADACL3	Caenorhabditis elegans
1565761	Aadacl4	AADACL4	Rattus norvegicus
1587396	LOC691196	AADACL4	Rattus norvegicus
1559644	RGD1559644	AADACL4	Rattus norvegicus
3650257	Aadacl4	AADACL4	Mus musculus
WBGene00011642	T09B9.1	AADACL4	Caenorhabditis elegans
ZDB-GENE-080919-2	aadacl4	AADACL4	Danio rerio
2948	Aadat	AADAT	Rattus norvegicus
ZDB-GENE-111229-1	aadat	AADAT	Danio rerio
FBgn0036117	CG6321	AADAT	Drosophila melanogaster
1345167	Aadat	AADAT	Mus musculus
S000003170	ARO8	AADAT	Saccharomyces cerevisiae
621601	Aagab	AAGAB	Rattus norvegicus
1914189	Aagab	AAGAB	Mus musculus
FBgn0052109	CG32109	AAGAB	Drosophila melanogaster
ZDB-GENE-040718-120	aagab	AAGAB	Danio rerio
1305520	Aak1	AAK1	Rattus norvegicus
S000004965	ARK1	AAK1	Saccharomyces cerevisiae
S000001357	PRK1	AAK1	Saccharomyces cerevisiae
S000000263	AKL1	AAK1	Saccharomyces cerevisiae
1098687	Aak1	AAK1	Mus musculus
FBgn0015772	Nak	AAK1	Drosophila melanogaster
WBGene00004762	sel-5	AAK1	Caenorhabditis elegans
ZDB-GENE-091118-25	aak1b	AAK1	Danio rerio
ZDB-GENE-081105-101	aak1a	AAK1	Danio rerio
ZDB-GENE-050522-64	aamdc	AAMDC	Danio rerio
1913523	Aamdc	AAMDC	Mus musculus
1561459	Aamdc	AAMDC	Rattus norvegicus
1306281	Aamp	AAMP	Rattus norvegicus
S000001451	SQT1	AAMP	Saccharomyces cerevisiae
107809	Aamp	AAMP	Mus musculus
FBgn0036460	CG5114	AAMP	Drosophila melanogaster
ZDB-GENE-040426-2370	aamp	AAMP	Danio rerio
WBGene00013735	Y111B2A.12	AAMP	Caenorhabditis elegans
ZDB-GENE-040329-1	aanat1	AANAT	Danio rerio
1328365	Aanat	AANAT	Mus musculus
S000002478	PAA1	AANAT	Saccharomyces cerevisiae
2006	Aanat	AANAT	Rattus norvegicus
WBGene00008639	F10B5.2	AAR2	Caenorhabditis elegans
ZDB-GENE-040704-68	aar2	AAR2	Danio rerio
FBgn0038590	CG12320	AAR2	Drosophila melanogaster
1915545	Aar2	AAR2	Mus musculus
S000000170	AAR2	AAR2	Saccharomyces cerevisiae
1311066	Aar2	AAR2	Rattus norvegicus
2181621	Aard	AARD	Mus musculus
631378	Aard	AARD	Rattus norvegicus
1304832	Aars1	AARS1	Rattus norvegicus
S000005862	ALA1	AARS1	Saccharomyces cerevisiae
2384560	Aars	AARS1	Mus musculus
FBgn0027094	AlaRS	AARS1	Drosophila melanogaster
ZDB-GENE-030131-3663	aars1	AARS1	Danio rerio
WBGene00000197	aars-2	AARS1	Caenorhabditis elegans
1310617	Aars2	AARS2	Rattus norvegicus
2681839	Aars2	AARS2	Mus musculus
FBgn0028962	AlaRS-m	AARS2	Drosophila melanogaster
ZDB-GENE-041008-213	aars2	AARS2	Danio rerio
WBGene00000196	aars-1	AARS2	Caenorhabditis elegans
9413039	Ptges3l	AARSD1	Rattus norvegicus
1916146	Ptges3l	AARSD1	Mus musculus
ZDB-GENE-121214-210	si:ch211-131k2.3	AARSD1	Danio rerio
1311135	Aasdh	AASDH	Rattus norvegicus
WBGene00012356	W09D6.1	AASDH	Caenorhabditis elegans
ZDB-GENE-041210-322	aasdh	AASDH	Danio rerio
FBgn0027780	Aasdh	AASDH	Drosophila melanogaster
2442517	Aasdh	AASDH	Mus musculus
S000000319	LYS2	AASDH	Saccharomyces cerevisiae
1311360	Aasdhppt	AASDHPPT	Rattus norvegicus
WBGene00020215	T04G9.4	AASDHPPT	Caenorhabditis elegans
WBGene00012142	T28H10.1	AASDHPPT	Caenorhabditis elegans
ZDB-GENE-050913-36	aasdhppt	AASDHPPT	Danio rerio
FBgn0052099	CG32099	AASDHPPT	Drosophila melanogaster
1914868	Aasdhppt	AASDHPPT	Mus musculus
S000003122	LYS5	AASDHPPT	Saccharomyces cerevisiae
1310811	Aass	AASS	Rattus norvegicus
S000005333	LYS9	AASS	Saccharomyces cerevisiae
1353573	Aass	AASS	Mus musculus
FBgn0286198	LKRSDH	AASS	Drosophila melanogaster
ZDB-GENE-061220-8	aass	AASS	Danio rerio
WBGene00019819	aass-1	AASS	Caenorhabditis elegans
WBGene00022269	aatf-1	AATF	Caenorhabditis elegans
ZDB-GENE-030131-9654	aatf	AATF	Danio rerio
FBgn0031851	Aatf	AATF	Drosophila melanogaster
1929608	Aatf	AATF	Mus musculus
S000002707	BFR2	AATF	Saccharomyces cerevisiae
620685	Aatf	AATF	Rattus norvegicus
ZDB-GENE-100812-6	aatkb	AATK	Danio rerio
1197518	Aatk	AATK	Mus musculus
1590980	Aatk	AATK	Rattus norvegicus
620948	Abat	ABAT	Rattus norvegicus
S000003251	UGA1	ABAT	Saccharomyces cerevisiae
2443582	Abat	ABAT	Mus musculus
FBgn0036927	Gabat	ABAT	Drosophila melanogaster
ZDB-GENE-031006-4	abat	ABAT	Danio rerio
WBGene00001794	gta-1	ABAT	Caenorhabditis elegans
631344	Abca1	ABCA1	Rattus norvegicus
99607	Abca1	ABCA1	Mus musculus
ZDB-GENE-031006-12	abca1a	ABCA1	Danio rerio
S000002814	PDR15	ABCA10	Saccharomyces cerevisiae
S000005679	PDR5	ABCA10	Saccharomyces cerevisiae
S000005855	PDR10	ABCA10	Saccharomyces cerevisiae
S000005979	PDR12	ABCA10	Saccharomyces cerevisiae
S000002418	SNQ2	ABCA10	Saccharomyces cerevisiae
S000005353	PDR18	ABCA10	Saccharomyces cerevisiae
S000001275	PDR11	ABCA10	Saccharomyces cerevisiae
S000005537	AUS1	ABCA10	Saccharomyces cerevisiae
FBgn0028539	Eato	ABCA10	Drosophila melanogaster
1304586	Abca12	ABCA12	Rattus norvegicus
2676312	Abca12	ABCA12	Mus musculus
FBgn0083956	CG34120	ABCA12	Drosophila melanogaster
ZDB-GENE-030131-9790	abca12	ABCA12	Danio rerio
1305895	Abca13	ABCA13	Rattus norvegicus
2388707	Abca13	ABCA13	Mus musculus
FBgn0083956	CG34120	ABCA13	Drosophila melanogaster
3625331	Abca17	ABCA17P	Mus musculus
620238	Abca2	ABCA2	Rattus norvegicus
99606	Abca2	ABCA2	Mus musculus
FBgn0031171	CG1801	ABCA2	Drosophila melanogaster
ZDB-GENE-050517-1	abca2	ABCA2	Danio rerio
1307174	Abca3	ABCA3	Rattus norvegicus
S000005979	PDR12	ABCA3	Saccharomyces cerevisiae
S000001275	PDR11	ABCA3	Saccharomyces cerevisiae
S000005855	PDR10	ABCA3	Saccharomyces cerevisiae
S000005537	AUS1	ABCA3	Saccharomyces cerevisiae
S000005679	PDR5	ABCA3	Saccharomyces cerevisiae
S000002418	SNQ2	ABCA3	Saccharomyces cerevisiae
S000005353	PDR18	ABCA3	Saccharomyces cerevisiae
S000002814	PDR15	ABCA3	Saccharomyces cerevisiae
1351617	Abca3	ABCA3	Mus musculus
FBgn0031170	Abca3	ABCA3	Drosophila melanogaster
ZDB-GENE-050517-2	abca3b	ABCA3	Danio rerio
WBGene00000022	abt-4	ABCA3	Caenorhabditis elegans
1309445	Abca4	ABCA4	Rattus norvegicus
109424	Abca4	ABCA4	Mus musculus
FBgn0028539	Eato	ABCA4	Drosophila melanogaster
ZDB-GENE-050517-4	abca4b	ABCA4	Danio rerio
WBGene00000020	abt-2	ABCA4	Caenorhabditis elegans
628661	Abca5	ABCA5	Rattus norvegicus
S000005855	PDR10	ABCA5	Saccharomyces cerevisiae
S000005979	PDR12	ABCA5	Saccharomyces cerevisiae
S000005679	PDR5	ABCA5	Saccharomyces cerevisiae
S000002418	SNQ2	ABCA5	Saccharomyces cerevisiae
S000005353	PDR18	ABCA5	Saccharomyces cerevisiae
S000001275	PDR11	ABCA5	Saccharomyces cerevisiae
S000005537	AUS1	ABCA5	Saccharomyces cerevisiae
S000002814	PDR15	ABCA5	Saccharomyces cerevisiae
2386607	Abca5	ABCA5	Mus musculus
FBgn0028539	Eato	ABCA5	Drosophila melanogaster
ZDB-GENE-050517-5	abca5	ABCA5	Danio rerio
1308998	Abca6	ABCA6	Rattus norvegicus
S000005353	PDR18	ABCA6	Saccharomyces cerevisiae
S000005537	AUS1	ABCA6	Saccharomyces cerevisiae
S000005855	PDR10	ABCA6	Saccharomyces cerevisiae
S000002418	SNQ2	ABCA6	Saccharomyces cerevisiae
S000002814	PDR15	ABCA6	Saccharomyces cerevisiae
S000005979	PDR12	ABCA6	Saccharomyces cerevisiae
S000005679	PDR5	ABCA6	Saccharomyces cerevisiae
S000001275	PDR11	ABCA6	Saccharomyces cerevisiae
1923434	Abca6	ABCA6	Mus musculus
FBgn0028539	Eato	ABCA6	Drosophila melanogaster
1303134	Abca7	ABCA7	Rattus norvegicus
1351646	Abca7	ABCA7	Mus musculus
FBgn0028539	Eato	ABCA7	Drosophila melanogaster
1307333	Abca8a	ABCA8	Rattus norvegicus
S000005537	AUS1	ABCA8	Saccharomyces cerevisiae
S000005979	PDR12	ABCA8	Saccharomyces cerevisiae
S000002418	SNQ2	ABCA8	Saccharomyces cerevisiae
S000001275	PDR11	ABCA8	Saccharomyces cerevisiae
S000002814	PDR15	ABCA8	Saccharomyces cerevisiae
S000005855	PDR10	ABCA8	Saccharomyces cerevisiae
S000005353	PDR18	ABCA8	Saccharomyces cerevisiae
S000005679	PDR5	ABCA8	Saccharomyces cerevisiae
1351668	Abca8b	ABCA8	Mus musculus
FBgn0028539	Eato	ABCA8	Drosophila melanogaster
1305931	Abca9	ABCA9	Rattus norvegicus
S000005855	PDR10	ABCA9	Saccharomyces cerevisiae
S000001275	PDR11	ABCA9	Saccharomyces cerevisiae
S000002418	SNQ2	ABCA9	Saccharomyces cerevisiae
S000002814	PDR15	ABCA9	Saccharomyces cerevisiae
S000005537	AUS1	ABCA9	Saccharomyces cerevisiae
S000005353	PDR18	ABCA9	Saccharomyces cerevisiae
S000005679	PDR5	ABCA9	Saccharomyces cerevisiae
S000005979	PDR12	ABCA9	Saccharomyces cerevisiae
2386796	Abca9	ABCA9	Mus musculus
FBgn0028539	Eato	ABCA9	Drosophila melanogaster
3318	Abcb1b	ABCB1	Rattus norvegicus
S000001692	STE6	ABCB1	Saccharomyces cerevisiae
97570	Abcb1a	ABCB1	Mus musculus
FBgn0010241	Mdr50	ABCB1	Drosophila melanogaster
WBGene00004003	pgp-9	ABCB1	Caenorhabditis elegans
1311222	Abcb10	ABCB10	Rattus norvegicus
S000004178	MDL1	ABCB10	Saccharomyces cerevisiae
1860508	Abcb10	ABCB10	Mus musculus
FBgn0023536	CG3156	ABCB10	Drosophila melanogaster
ZDB-GENE-040525-2	abcb10	ABCB10	Danio rerio
WBGene00001813	haf-3	ABCB10	Caenorhabditis elegans
619930	Abcb11	ABCB11	Rattus norvegicus
S000001692	STE6	ABCB11	Saccharomyces cerevisiae
1351619	Abcb11	ABCB11	Mus musculus
FBgn0010241	Mdr50	ABCB11	Drosophila melanogaster
ZDB-GENE-050517-13	abcb11a	ABCB11	Danio rerio
620248	Abcb4	ABCB4	Rattus norvegicus
S000001692	STE6	ABCB4	Saccharomyces cerevisiae
97569	Abcb4	ABCB4	Mus musculus
FBgn0010241	Mdr50	ABCB4	Drosophila melanogaster
ZDB-GENE-080204-52	abcb4	ABCB4	Danio rerio
WBGene00004003	pgp-9	ABCB4	Caenorhabditis elegans
1566342	Abcb5	ABCB5	Rattus norvegicus
S000001692	STE6	ABCB5	Saccharomyces cerevisiae
1924956	Abcb5	ABCB5	Mus musculus
FBgn0010241	Mdr50	ABCB5	Drosophila melanogaster
ZDB-GENE-030131-6414	abcb5	ABCB5	Danio rerio
WBGene00003995	pgp-1	ABCB5	Caenorhabditis elegans
71077	Abcb6	ABCB6	Rattus norvegicus
1921354	Abcb6	ABCB6	Mus musculus
FBgn0038376	Hmt-1	ABCB6	Drosophila melanogaster
ZDB-GENE-050517-9	abcb6a	ABCB6	Danio rerio
WBGene00001815	hmt-1	ABCB6	Caenorhabditis elegans
1303086	Abcb7	ABCB7	Rattus norvegicus
S000004916	ATM1	ABCB7	Saccharomyces cerevisiae
109533	Abcb7	ABCB7	Mus musculus
FBgn0035244	ABCB7	ABCB7	Drosophila melanogaster
ZDB-GENE-050517-10	abcb7	ABCB7	Danio rerio
WBGene00022281	abtm-1	ABCB7	Caenorhabditis elegans
1307655	Abcb8	ABCB8	Rattus norvegicus
1351667	Abcb8	ABCB8	Mus musculus
FBgn0030403	CG1824	ABCB8	Drosophila melanogaster
ZDB-GENE-050410-6	abcb8	ABCB8	Danio rerio
WBGene00001816	haf-6	ABCB8	Caenorhabditis elegans
620254	Abcb9	ABCB9	Rattus norvegicus
1861729	Abcb9	ABCB9	Mus musculus
ZDB-GENE-050517-12	abcb9	ABCB9	Danio rerio
WBGene00001819	haf-9	ABCB9	Caenorhabditis elegans
WBGene00001814	haf-4	ABCB9	Caenorhabditis elegans
3112	Abcc1	ABCC1	Rattus norvegicus
S000002542	YCF1	ABCC1	Saccharomyces cerevisiae
102676	Abcc1	ABCC1	Mus musculus
ZDB-GENE-050517-15	abcc1	ABCC1	Danio rerio
1306696	Abcc10	ABCC10	Rattus norvegicus
2386976	Abcc10	ABCC10	Mus musculus
FBgn0032018	CG7806	ABCC10	Drosophila melanogaster
ZDB-GENE-050517-24	abcc10	ABCC10	Danio rerio
735100	Abcc12	ABCC12	Rattus norvegicus
2441679	Abcc12	ABCC12	Mus musculus
ZDB-GENE-050517-25	abcc12	ABCC12	Danio rerio
ZDB-GENE-050517-26	abcc13	ABCC13	Danio rerio
2366	Abcc2	ABCC2	Rattus norvegicus
1352447	Abcc2	ABCC2	Mus musculus
ZDB-GENE-040426-1523	abcc2	ABCC2	Danio rerio
WBGene00003413	mrp-7	ABCC2	Caenorhabditis elegans
71101	Abcc3	ABCC3	Rattus norvegicus
S000002542	YCF1	ABCC3	Saccharomyces cerevisiae
1923658	Abcc3	ABCC3	Mus musculus
FBgn0032456	MRP	ABCC3	Drosophila melanogaster
ZDB-GENE-050517-16	abcc3	ABCC3	Danio rerio
WBGene00003407	mrp-1	ABCC3	Caenorhabditis elegans
620266	Abcc4	ABCC4	Rattus norvegicus
2443111	Abcc4	ABCC4	Mus musculus
FBgn0032026	CG7627	ABCC4	Drosophila melanogaster
FBgn0038740	CG4562	ABCC4	Drosophila melanogaster
ZDB-GENE-030616-511	abcc4	ABCC4	Danio rerio
WBGene00003412	mrp-6	ABCC4	Caenorhabditis elegans
70913	Abcc5	ABCC5	Rattus norvegicus
1351644	Abcc5	ABCC5	Mus musculus
ZDB-GENE-050517-17	abcc5	ABCC5	Danio rerio
WBGene00003411	mrp-5	ABCC5	Caenorhabditis elegans
620268	Abcc6	ABCC6	Rattus norvegicus
1351634	Abcc6	ABCC6	Mus musculus
ZDB-GENE-050517-18	abcc6a	ABCC6	Danio rerio
3786	Abcc8	ABCC8	Rattus norvegicus
S000001811	NFT1	ABCC8	Saccharomyces cerevisiae
1352629	Abcc8	ABCC8	Mus musculus
FBgn0028675	Sur	ABCC8	Drosophila melanogaster
ZDB-GENE-050517-22	abcc8	ABCC8	Danio rerio
3787	Abcc9	ABCC9	Rattus norvegicus
S000001811	NFT1	ABCC9	Saccharomyces cerevisiae
1352630	Abcc9	ABCC9	Mus musculus
FBgn0028675	Sur	ABCC9	Drosophila melanogaster
ZDB-GENE-050517-23	abcc9	ABCC9	Danio rerio
1562128	Abcd1	ABCD1	Rattus norvegicus
S000001671	PXA2	ABCD1	Saccharomyces cerevisiae
1349215	Abcd1	ABCD1	Mus musculus
FBgn0039890	Abcd1	ABCD1	Drosophila melanogaster
ZDB-GENE-050517-27	abcd1	ABCD1	Danio rerio
WBGene00004061	pmp-4	ABCD1	Caenorhabditis elegans
69244	Abcd2	ABCD2	Rattus norvegicus
S000001671	PXA2	ABCD2	Saccharomyces cerevisiae
1349467	Abcd2	ABCD2	Mus musculus
WBGene00004061	pmp-4	ABCD2	Caenorhabditis elegans
FBgn0039890	Abcd1	ABCD2	Drosophila melanogaster
2007	Abcd3	ABCD3	Rattus norvegicus
1349216	Abcd3	ABCD3	Mus musculus
FBgn0031069	Abcd3	ABCD3	Drosophila melanogaster
ZDB-GENE-040426-2868	abcd3a	ABCD3	Danio rerio
ZDB-GENE-050517-29	abcd3b	ABCD3	Danio rerio
WBGene00004059	pmp-2	ABCD3	Caenorhabditis elegans
1307273	Abcd4	ABCD4	Rattus norvegicus
1349217	Abcd4	ABCD4	Mus musculus
ZDB-GENE-050517-30	abcd4	ABCD4	Danio rerio
WBGene00004060	pmp-3	ABCD4	Caenorhabditis elegans
1305301	Abce1	ABCE1	Rattus norvegicus
S000002498	RLI1	ABCE1	Saccharomyces cerevisiae
1195458	Abce1	ABCE1	Mus musculus
WBGene00012714	abce-1	ABCE1	Caenorhabditis elegans
ZDB-GENE-040426-1995	abce1	ABCE1	Danio rerio
FBgn0086706	pix	ABCE1	Drosophila melanogaster
620286	Abcf1	ABCF1	Rattus norvegicus
S000006147	NEW1	ABCF1	Saccharomyces cerevisiae
1351658	Abcf1	ABCF1	Mus musculus
FBgn0030321	CG1703	ABCF1	Drosophila melanogaster
WBGene00006512	abcf-1	ABCF1	Caenorhabditis elegans
ZDB-GENE-050517-31	abcf1	ABCF1	Danio rerio
1310468	Abcf3	ABCF3	Rattus norvegicus
S000001905	GCN20	ABCF3	Saccharomyces cerevisiae
1351656	Abcf3	ABCF3	Mus musculus
WBGene00018339	abcf-3	ABCF3	Caenorhabditis elegans
ZDB-GENE-050517-32	abcf3	ABCF3	Danio rerio
FBgn0036888	CG9330	ABCF3	Drosophila melanogaster
620294	Abcg1	ABCG1	Rattus norvegicus
S000005353	PDR18	ABCG1	Saccharomyces cerevisiae
S000002418	SNQ2	ABCG1	Saccharomyces cerevisiae
S000002814	PDR15	ABCG1	Saccharomyces cerevisiae
107704	Abcg1	ABCG1	Mus musculus
ZDB-GENE-070424-84	abcg1	ABCG1	Danio rerio
WBGene00017179	wht-4	ABCG1	Caenorhabditis elegans
631345	Abcg2	ABCG2	Rattus norvegicus
S000000604	ADP1	ABCG2	Saccharomyces cerevisiae
1347061	Abcg2	ABCG2	Mus musculus
FBgn0003996	w	ABCG2	Drosophila melanogaster
ZDB-GENE-050517-37	abcg2c	ABCG2	Danio rerio
ZDB-GENE-050517-38	abcg2d	ABCG2	Danio rerio
ZDB-GENE-050517-35	abcg2a	ABCG2	Danio rerio
WBGene00012925	wht-8	ABCG2	Caenorhabditis elegans
WBGene00007060	wht-6	ABCG2	Caenorhabditis elegans
1305840	Abcg4	ABCG4	Rattus norvegicus
S000002814	PDR15	ABCG4	Saccharomyces cerevisiae
S000005353	PDR18	ABCG4	Saccharomyces cerevisiae
S000002418	SNQ2	ABCG4	Saccharomyces cerevisiae
1890594	Abcg4	ABCG4	Mus musculus
FBgn0020762	Atet	ABCG4	Drosophila melanogaster
FBgn0032167	CG5853	ABCG4	Drosophila melanogaster
WBGene00017179	wht-4	ABCG4	Caenorhabditis elegans
ZDB-GENE-050517-39	abcg4a	ABCG4	Danio rerio
620298	Abcg5	ABCG5	Rattus norvegicus
S000005435	YOL075C	ABCG5	Saccharomyces cerevisiae
1351659	Abcg5	ABCG5	Mus musculus
FBgn0039244	CG11069	ABCG5	Drosophila melanogaster
ZDB-GENE-050517-40	abcg5	ABCG5	Danio rerio
WBGene00016973	abch-1	ABCG5	Caenorhabditis elegans
620300	Abcg8	ABCG8	Rattus norvegicus
S000005435	YOL075C	ABCG8	Saccharomyces cerevisiae
1914720	Abcg8	ABCG8	Mus musculus
FBgn0051121	CG31121	ABCG8	Drosophila melanogaster
ZDB-GENE-050517-41	abcg8	ABCG8	Danio rerio
1310988	Abhd1	ABHD1	Rattus norvegicus
S000004823	MGL2	ABHD1	Saccharomyces cerevisiae
S000006016	EEB1	ABHD1	Saccharomyces cerevisiae
S000000381	EHT1	ABHD1	Saccharomyces cerevisiae
1931013	Abhd1	ABHD1	Mus musculus
WBGene00013358	abhd-3.1	ABHD1	Caenorhabditis elegans
FBgn0033382	Hydr1	ABHD1	Drosophila melanogaster
WBGene00008222	C50B6.9	ABHD10	Caenorhabditis elegans
ZDB-GENE-041111-196	abhd10b	ABHD10	Danio rerio
2442422	Abhd10	ABHD10	Mus musculus
9356323	LOC103693563	ABHD10	Rattus norvegicus
1304681	Abhd11	ABHD11	Rattus norvegicus
WBGene00011029	abhd-11.2	ABHD11	Caenorhabditis elegans
ZDB-GENE-040909-1	abhd11	ABHD11	Danio rerio
FBgn0029942	CG2059	ABHD11	Drosophila melanogaster
1916008	Abhd11	ABHD11	Mus musculus
S000003263	IMO32	ABHD11	Saccharomyces cerevisiae
1585479	Abhd11-as1	ABHD11-AS1	Rattus norvegicus
1562570	Abhd12	ABHD12	Rattus norvegicus
1923442	Abhd12	ABHD12	Mus musculus
ZDB-GENE-060929-268	abhd12	ABHD12	Danio rerio
1303145	Abhd12b	ABHD12B	Rattus norvegicus
2685650	Abhd12b	ABHD12B	Mus musculus
WBGene00022393	abhd-12	ABHD12B	Caenorhabditis elegans
ZDB-GENE-060503-569	si:ch211-117n7.7	ABHD12B	Danio rerio
ZDB-GENE-060503-474	si:ch211-117n7.6	ABHD12B	Danio rerio
FBgn0034419	CG15111	ABHD12B	Drosophila melanogaster
1308317	Abhd13	ABHD13	Rattus norvegicus
S000005264	YNL320W	ABHD13	Saccharomyces cerevisiae
1916154	Abhd13	ABHD13	Mus musculus
ZDB-GENE-051120-54	abhd13	ABHD13	Danio rerio
FBgn0025109	Bem46	ABHD13	Drosophila melanogaster
1309721	Abhd14a	ABHD14A	Rattus norvegicus
1915894	Abhd14a	ABHD14A	Mus musculus
ZDB-GENE-040426-2428	abhd14a	ABHD14A	Danio rerio
1359649	Abhd14b	ABHD14B	Rattus norvegicus
1923741	Abhd14b	ABHD14B	Mus musculus
WBGene00021927	abhd-14	ABHD14B	Caenorhabditis elegans
ZDB-GENE-040426-1342	abhd14b	ABHD14B	Danio rerio
1304598	Abhd15	ABHD15	Rattus norvegicus
1914727	Abhd15	ABHD15	Mus musculus
ZDB-GENE-131121-270	abhd15a	ABHD15	Danio rerio
1303164	Abhd16a	ABHD16A	Rattus norvegicus
99476	Abhd16a	ABHD16A	Mus musculus
FBgn0035519	CG1309	ABHD16A	Drosophila melanogaster
WBGene00018131	F37A4.1	ABHD16A	Caenorhabditis elegans
ZDB-GENE-010601-2	abhd16a	ABHD16A	Danio rerio
1309726	Abhd16b	ABHD16B	Rattus norvegicus
3607711	Abhd16b	ABHD16B	Mus musculus
1359682	Abhd17a	ABHD17A	Rattus norvegicus
106388	Abhd17a	ABHD17A	Mus musculus
FBgn0053096	CG33096	ABHD17A	Drosophila melanogaster
WBGene00045192	aho-3	ABHD17A	Caenorhabditis elegans
ZDB-GENE-081105-136	abhd17ab	ABHD17A	Danio rerio
1305246	Abhd17b	ABHD17B	Rattus norvegicus
1917816	Abhd17b	ABHD17B	Mus musculus
FBgn0053096	CG33096	ABHD17B	Drosophila melanogaster
WBGene00045192	aho-3	ABHD17B	Caenorhabditis elegans
ZDB-GENE-040718-244	abhd17b	ABHD17B	Danio rerio
1308210	Abhd17c	ABHD17C	Rattus norvegicus
1917428	Abhd17c	ABHD17C	Mus musculus
FBgn0053096	CG33096	ABHD17C	Drosophila melanogaster
WBGene00045192	aho-3	ABHD17C	Caenorhabditis elegans
ZDB-GENE-040426-714	abhd17c	ABHD17C	Danio rerio
WBGene00008317	C54G4.7	ABHD18	Caenorhabditis elegans
