Human_gene_name,Gene_name,tree
ACACA,T28F3.5,15
ACACB,pod-2,1
ACAD10,C04E6.7,9
ACAD10,F37H8.3,5
ACAD10,K09H11.1,20
ACAD11,K09H11.1,20
ACAD8,acdh-9,19
ACAD9,acdh-13,17
ACADL,acdh-5,9
ACADM,acdh-10,19
ACADM,acdh-7,19
ACADM,acdh-8,9
ACADS,acdh-6,18
ACADSB,acdh-1,20
ACADSB,acdh-2,20
ACADSB,acdh-3,1
ACADSB,acdh-4,9
ACADVL,acdh-12,13
ACAN,clec-146,5
ACAN,clec-178,9
ACAP1,cnt-1,1
ACAP2,cnt-1,1
ACAT1,kat-1,13
ACAT1,T02G5.7,13
ACBD3,Y41E3.7,1
ACBD4,acbp-3,20
ACBD4,acbp-4,9
ACBD4,maa-1,20
ACBD5,maa-1,20
ACBD6,acbp-5,17
ACBD7,acbp-6,9
ACCS,T04F3.1,3
ACE2,acn-1,12
ACER1,W02F12.2,8
ACER2,W02F12.2,8
ACHE,ace-1,9
ACHE,T02B5.3,20
ACHE,T07H6.1,9
ACHE,ZC376.1,9
ACIN1,acin-1,1
ACKR3,npr-32,9
ACLY,acly-1,3
ACLY,acly-2,9
ACMSD,acsd-1,9
ACO1,aco-1,16
ACO2,aco-2,1
ACOT1,K05B2.4,20
ACOT1,T05E7.1,20
ACOT13,C25H3.14,9
ACOT13,C25H3.3,9
ACOT13,F42H10.6,9
ACOT2,C31H5.6,20
ACOT2,K05B2.4,20
ACOT4,W03D8.8,20
ACOT6,K05B2.4,20
ACOT8,C17C3.1,20
ACOT8,C17C3.3,9
ACOT8,C37H5.13,1
ACOT8,F25E2.3,9
ACOT8,Y87G2A.2,20
ACOT9,F57F4.1,9
ACOT9,T07D3.9,20
ACOT9,T22B7.7,9
ACOX1,F08A8.4,20
ACOX1,F59F4.1,20
ACOX3,acox-3,9
ACOX3,F58F9.7,20
ACP1,Y94H6A.7,9
ACP2,acp-5,20
ACP2,acp-7,20
ACP2,pho-12,9
ACP2,pho-13,20
ACP2,pho-14,9
ACP2,pho-4,5
ACP2,pho-5,3
ACP2,pho-6,5
ACP2,pho-8,20
ACP4,acp-4,9
ACP4,pho-5,3
ACP5,F02E9.7,11
ACP7,C08B6.14,9
ACP7,F21A3.11,20
ACP7,H25K10.1,9
ACP7,papl-1,20
ACP7,Y105C5B.15,9
ACP7,Y105C5B.3,9
ACP3,acp-1,9
ACP3,acp-2,9
ACP3,acp-3,9
ACP3,C27A2.12,18
ACP3,F26C11.1,9
ACP3,pho-1,20
ACP3,pho-10,9
ACP3,pho-11,20
ACP3,pho-5,3
ACP3,pho-7,16
ACP3,pho-9,20
ACSF2,acs-1,16
ACSF2,acs-10,9
ACSF2,acs-12,18
ACSF2,acs-14,20
ACSF2,acs-16,9
ACSF2,acs-2,9
ACSF2,acs-6,9
ACSF2,acs-7,20
ACSF2,mec-18,7
ACSF3,acs-11,17
ACSF3,acs-21,9
ACSF3,C32E8.6,9
ACSL1,acs-13,1
ACSL1,acs-5,20
ACSL4,acs-17,13
ACSL4,acs-4,1
ACSL5,acs-15,9
ACSL5,acs-18,9
ACSL5,acs-3,12
ACSL6,acs-13,1
ACSM3,acs-9,9
ACSS2,acs-19,1
ACTB,act-1,1
ACTB,act-2,1
ACTB,act-3,1
ACTB,act-4,1
ACTG1,act-5,16
ACTG1,F42C5.9,1
ACTL6A,swsn-6,17
ACTL6B,swsn-6,17
ACTN1,atn-1,19
ACTN2,atn-1,19
ACTN2,C07A9.5,9
ACTN3,atn-1,19
ACTN4,atn-1,19
ACTR10,arp-11,1
ACTR1A,arp-1,10
ACTR1B,arp-1,10
ACTR2,arx-2,10
ACTR3,arx-1,1
ACTR3B,arx-1,1
ACTR3C,arx-1,1
ACTR6,arp-6,11
ACVR2A,daf-4,1
ACVR2B,daf-4,1
ACY1,C06A6.4,20
ACY1,C10C5.3,9
ACY1,C10C5.4,18
ACY1,C10C5.5,9
ACY1,C44E12.1,9
ADA,C06G3.5,10
ADAD1,adr-1,1
ADAL,C44B7.12,9
ADAM10,sup-17,1
ADAM12,adm-2,1
ADAM15,unc-71,14
ADAM17,adm-4,17
ADAM28,tag-275,2
ADAM33,adm-2,1
ADAM9,adm-2,1
ADAMDEC1,adm-2,1
ADAMDEC1,F27D9.7,16
ADAMTS1,gon-1,10
ADAMTS15,gon-1,10
ADAMTS16,T19D2.1,18
ADAMTS18,adt-1,12
ADAMTS18,mig-17,9
ADAMTS20,gon-1,10
ADAMTS4,gon-1,10
ADAMTS5,gon-1,10
ADAMTS6,adt-2,12
ADAMTS6,mig-6,13
ADAMTS8,gon-1,10
ADAMTS9,gon-1,10
ADAMTSL3,madd-4,7
ADARB1,adr-2,6
ADARB2,adr-2,6
ADARB2,D2005.1,9
ADAT2,JC8.4,9
ADAT3,Y47D3A.14,9
ADCK1,D2023.6,11
ADCK2,Y32H12A.7,1
ADCY4,acy-2,7
ADCY5,acy-4,7
ADCY6,acy-4,7
ADCY7,acy-2,7
ADCY8,acy-3,1
ADCY9,acy-1,1
ADD1,add-1,7
ADD1,add-2,17
ADD2,add-1,7
ADD3,add-1,7
ADGRE1,lat-2,16
ADGRE3,lat-2,16
ADGRE4P,Y37E11AL.6,6
ADGRL2,lat-2,16
ADGRL3,lat-1,14
ADGRL3,mth-1,9
ADGRL4,lat-1,14
ADH1A,H24K24.3,10
ADH1B,H24K24.3,10
ADH1C,H24K24.3,10
ADH4,D2063.1,9
ADH4,H24K24.3,10
ADH4,sodh-1,9
ADH4,sodh-2,9
ADH5,H24K24.3,10
ADH6,H24K24.3,10
ADH7,H24K24.3,10
ADHFE1,Y38F1A.6,20
ADI1,F42F12.4,9
ADI1,K07E1.1,18
ADI1,T01D1.4,12
ADIPOR1,paqr-1,10
ADIPOR2,paqr-2,1
ADK,R07H5.8,13
ADO,Y50D4C.6,9
ADORA1,ador-1,7
ADORA2A,ador-1,7
ADORA2B,ador-1,7
ADORA3,ador-1,7
ADPGK,C50D2.7,13
ADRA1A,npr-19,7
ADRA1A,ser-5,9
ADRA1A,tag-89,7
ADRA2A,dop-1,7
ADRA2A,octr-1,9
ADRM1,C56G2.7,1
ADSL,adsl-1,13
ADSS2,adss-1,1
ADSS1,adss-1,1
ADTRP,C37E2.3,9
AEBP1,egl-21,4
AEN,Y17G7B.12,11
TLE5,unc-37,10
AFDN,afd-1,1
AFG1L,C30F12.2,11
AFG3L2,spg-7,1
AFMID,afmd-1,9
AFMID,afmd-2,20
AFTPH,Y45G5AM.9,1
AGA,R04B3.2,9
AGAP1,cnt-2,1
AGAP11,cnt-2,1
AGAP2,cnt-2,1
AGAP3,cnt-2,1
AGAP4,cnt-2,1
AGAP5,cnt-2,1
AGAP6,cnt-2,1
AGAP7P,cnt-2,1
AGAP9,cnt-2,1
AGBL1,ccpp-1,14
AGBL4,ccpp-6,9
AGGF1,Y55D9A.2,14
AGK,F52C9.3,19
AGL,agl-1,1
AGMO,agmo-1,12
AGO1,alg-1,10
AGO1,nrde-3,14
AGO1,ppw-2,11
AGO1,wago-4,11
AGO1,wago-5,9
AGO2,alg-1,10
AGO2,alg-2,19
AGO2,ergo-1,1
AGO2,rde-1,1
AGO3,alg-1,10
AGO3,C04F12.1,2
AGO3,csr-1,8
AGO3,ppw-1,9
AGO3,sago-2,9
AGO3,wago-1,9
AGO4,alg-3,9
AGO4,hrde-1,11
AGO4,sago-1,15
AGO4,wago-10,9
AGO4,wago-11,9
AGPAT1,acl-1,9
AGPAT1,acl-2,11
AGPAT2,acl-2,11
AGPAT5,acl-11,11
AGPS,ads-1,9
AGR2,Y57A10A.23,12
AGR3,Y57A10A.23,12
AGRN,agr-1,6
AGRN,F29G6.1,18
AGTPBP1,ccpp-1,14
AGTR2,gnrr-3,9
AGXT,agxt-1,19
AGXT2,T09B4.8,4
AHCY,ahcy-1,1
AHCYL1,ahcy-1,1
AHCYL2,ahcy-1,1
AHNAK2,T19B10.5,18
AHR,ahr-1,9
AHRR,ahr-1,9
AHSA1,C01G10.8,10
AHSA2P,C01G10.8,10
AIFM1,wah-1,1
AIFM3,F20D6.11,2
AIG1,C37E2.2,9
AIG1,C37E2.3,9
AIP,C56C10.10,14
AIPL1,C56C10.10,14
AJM1,ajm-1,1
AK1,F38B2.4,6
AK2,let-754,1
AK3,ZK673.2,14
AK5,F13E6.2,7
AK6,E02H1.6,11
AKAP1,akap-1,1
AKAP10,rgs-5,17
AKAP17A,cux-7,1
AKIRIN1,akir-1,1
AKIRIN2,akir-1,1
AKR1A1,C01G5.5,9
AKR1A1,F53F1.2,12
AKR1A1,K07C5.2,9
AKR1A1,Y39G8B.1,3
AKR1A1,Y39G8B.2,9
AKR1A1,ZK1290.5,16
AKR1B1,C07D8.5,9
AKR1B1,Y39G8B.1,3
AKR1B10,C35D10.6,12
AKR1B10,T08H10.1,20
AKR1B10,Y39G8B.1,3
AKR1B15,Y39G8B.1,3
AKR1C1,F53F1.3,9
AKR1C1,Y39G8B.1,3
AKR1C2,Y39G8B.1,3
AKR1C3,Y39G8B.1,3
AKR1C4,C07D8.6,19
AKR1C4,C56G3.2,9
AKR1C4,Y39G8B.1,3
AKR1D1,Y39G8B.1,3
AKR1D1,ZC443.1,5
AKR1E2,Y39G8B.1,3
AKT1,akt-1,1
AKT2,akt-1,1
AKT3,akt-2,3
AKT3,F28C10.3,4
AKTIP,ubc-19,9
ALDH18A1,alh-13,20
ALDH1L1,alh-3,5
ALDH1L2,alh-3,5
ALDH2,alh-1,17
ALDH2,alh-2,9
ALDH3A1,alh-4,1
ALDH3A1,alh-5,20
ALDH3A2,alh-4,1
ALDH3B2,alh-4,1
ALDH4A1,alh-6,10
ALDH5A1,alh-7,4
ALDH6A1,alh-8,4
ALDH7A1,alh-9,18
ALDH8A1,alh-10,20
ALDH9A1,alh-11,1
ALDH9A1,alh-12,9
ALDOA,aldo-1,4
ALDOA,aldo-2,13
ALDOB,aldo-1,4
ALDOC,aldo-1,4
ALG1,algn-1,11
ALG10,tag-179,11
ALG10B,tag-179,11
ALG11,algn-11,1
ALG12,ZC513.5,11
ALG13,algn-13,8
ALG14,algn-14,11
ALG1L,algn-1,11
ALG1L2,algn-1,11
ALG2,algn-2,19
ALG2,bus-8,9
ALG3,K09E4.2,13
ALG5,H43I07.3,14
ALG6,C08B11.8,9
ALG8,C08H9.3,11
ALG9,C14A4.3,10
ALK,scd-2,7
ALKBH1,Y51H7C.5,14
ALKBH4,F09F7.7,10
ALKBH6,B0564.2,9
ALKBH7,Y46G5A.35,9
ALKBH8,alkb-8,14
ALX1,unc-42,9
ALYREF,aly-2,14
AMACR,C24A3.4,20
AMACR,ZK892.4,9
AMBP,ZK287.4,8
AMD1,smd-1,9
AMDHD1,T12A2.1,18
AMDHD2,F59B2.3,9
AMFR,hrdl-1,1
AMMECR1,R166.3,6
AMMECR1L,R166.3,6
AMN,Y75B7AL.2,7
AMOT,F59C12.3,3
AMOTL1,F59C12.3,3
AMOTL2,F59C12.3,3
AMPD1,ampd-1,1
AMPD2,ampd-1,1
AMPD3,ampd-1,1
AMPH,amph-1,1
AMT,gcst-1,15
AMY2A,C50B6.7,20
AMY2B,C50B6.7,20
ANAPC1,mat-2,14
ANAPC10,apc-10,9
ANAPC10,Y48G1C.12,11
ANAPC11,apc-11,11
ANAPC2,apc-2,17
ANAPC5,such-1,17
ANGEL1,angl-1,17
ANGEL2,angl-1,17
ANGPTL4,Y43C5A.2,20
ANK1,frm-9,6
ANK1,T16G1.9,13
ANK1,trp-4,9
ANK2,unc-44,1
ANK3,M60.7,9
ANK3,nphp-2,5
ANKFN1,R07E4.1,20
ANKFY1,F22G12.4,17
ANKLE1,F44E5.15,9
ANKLE1,lem-3,17
ANKLE2,lem-4,17
ANKMY2,daf-25,14
ANKRD13A,C18F10.7,1
ANKRD13B,C18F10.7,1
ANKRD13C,C01F1.6,1
ANKRD13D,C18F10.7,1
ANKRD17,R11A8.7,1
ANKRD35,F36D3.5,9
ANKRD40,R31.2,10
ANKRD44,F34D10.6,5
ANKRD49,F26F4.12,17
ANKRD50,T28D6.4,6
ANKS1A,C11E4.6,4
ANKS3,mlt-3,18
ANKS6,mlt-2,18
ANKZF1,vms-1,10
ANLN,ani-1,17
ANLN,ani-2,9
ANLN,ani-3,9
ANO7,anoh-1,7
ANO8,anoh-2,7
ANOS1,kal-1,7
ANP32A,F33H2.3,1
ANP32A,T19H12.2,11
ANP32B,F33H2.3,1
ANP32C,F33H2.3,1
ANP32E,F33H2.3,1
ANPEP,T07F10.1,16
ANPEP,T12E12.6,8
ANPEP,Y42A5A.1,12
ANXA13,nex-1,1
ANXA5,nex-3,9
ANXA5,nex-4,5
ANXA7,nex-2,19
AP1B1,apb-1,1
AP1G1,apg-1,1
AP1G2,apg-1,1
AP1M1,apm-1,16
AP1M1,unc-101,14
AP1S1,aps-1,2
AP1S2,aps-1,2
AP1S3,aps-1,2
AP2A1,apa-2,1
AP2A2,apa-2,1
AP2B1,apb-1,1
AP2M1,dpy-23,1
AP2S1,aps-2,9
AP3B1,apb-3,1
AP3B2,apb-3,1
AP3D1,apd-3,1
AP3M1,apm-3,15
AP3M2,apm-3,15
AP3S1,aps-3,9
AP3S2,aps-3,9
APAF1,ced-4,17
APBA1,lin-10,1
APBA2,lin-10,1
APBA3,lin-10,1
APBB1,feh-1,6
APBB1IP,mig-10,1
APBB2,feh-1,6
APBB3,feh-1,6
APEH,dpf-4,13
APEH,dpf-5,10
APEH,dpf-6,16
APEH,dpf-7,10
APEX1,exo-3,11
APH1A,aph-1,17
APH1B,aph-1,17
APIP,ZC373.5,9
APLP1,apl-1,1
APLP2,apl-1,1
APMAP,C08E8.2,9
APMAP,F57C2.5,13
APMAP,T12G3.4,8
APOBR,clec-121,9
APOBR,clec-122,9
APOH,lev-9,9
APOL3,F07F6.8,1
APOOL,moma-1,1
COA8,Y39B6A.34,9
APP,apl-1,1
APRT,T19B4.3,7
AQP10,aqp-1,8
AQP10,aqp-2,1
AQP10,aqp-7,2
AQP10,aqp-8,18
AQP3,aqp-2,1
AQP8,aqp-4,20
AQP8,aqp-5,9
AQP8,aqp-6,9
AQP9,aqp-2,1
AQP9,aqp-3,9
AQR,emb-4,1
AR,nhr-192,9
ARAF,lin-45,1
ARAP1,F23H11.4,10
ARAP3,F23H11.4,10
ARCN1,copd-1,1
ARF1,arf-1.1,9
ARF1,arf-1.2,1
ARF5,arf-3,1
ARF6,arf-6,14
ARFGAP1,K02B12.7,1
ARFGAP2,F07F6.4,1
ARFGAP3,F07F6.4,1
ARFGEF1,agef-1,1
ARFGEF2,agef-1,1
ARFGEF3,Y106G6G.2,7
ARFIP1,F54C8.7,1
ARFIP2,F54C8.7,1
ARFRP1,Y54E10BR.2,9
ARG1,T21F4.1,18
ARHGAP1,rga-1,1
ARHGAP10,T04C9.1,1
ARHGAP12,tag-325,1
ARHGAP15,tag-325,1
ARHGAP20,rga-2,6
ARHGAP23,pac-1,1
ARHGAP26,T04C9.1,1
ARHGAP27,tag-325,1
ARHGAP29,spv-1,2
ARHGAP30,rrc-1,7
ARHGAP31,rrc-1,7
ARHGAP32,rrc-1,7
ARHGAP33,rrc-1,7
ARHGAP35,rga-5,8
ARHGAP36,rga-6,7
ARHGAP39,Y92H12BL.4,13
ARHGAP39,Y92H12BM.1,17
ARHGAP4,srgp-1,1
ARHGAP42,T04C9.1,1
ARHGAP44,Y34B4A.8,3
ARHGAP45,spv-1,2
ARHGAP5,rga-5,8
ARHGAP6,rga-6,7
ARHGAP8,rga-1,1
ARHGAP9,tag-325,1
ARHGDIB,rhi-1,8
ARHGEF1,rhgf-1,7
ARHGEF11,rhgf-1,7
ARHGEF12,rhgf-1,7
ARHGEF15,ephx-1,6
ARHGEF16,ephx-1,6
ARHGEF17,osg-1,9
ARHGEF19,ephx-1,6
ARHGEF2,Y105E8A.25,1
ARHGEF25,unc-73,1
ARHGEF26,ephx-1,6
ARHGEF37,Y37A1B.17,1
ARHGEF38,Y37A1B.17,1
ARHGEF5,ephx-1,6
ARHGEF6,pix-1,13
ARHGEF7,pix-1,13
ARID1A,let-526,1
ARID2,swsn-7,1
ARID3A,cfi-1,9
ARID3B,cfi-1,9
ARID3C,cfi-1,9
ARID4A,arid-1,10
ARIH1,C17H11.4,9
ARIH1,C27A12.6,17
ARIH1,C27A12.7,13
ARIH1,Y57A10A.31,17
ARIH2,T12E12.1,1
ARL1,arl-1,17
ARL13B,arl-13,5
ARL14EPL,B0336.5,9
ARL2,evl-20,9
ARL2-SNX15,evl-20,9
ARL3,arl-3,5
ARL5B,arl-5,9
ARL5C,arl-5,9
ARL6,arl-6,5
ARL6IP5,praf-3,17
ARL8A,arl-8,10
ARL8B,arl-8,10
ARMC1,K05C4.7,11
ARMC9,F59G1.4,5
ARMT1,F31D4.2,10
ARNT,aha-1,1
ARNT2,aha-1,1
ARPC1A,arx-3,1
ARPC1B,arx-3,1
ARPC2,arx-4,14
ARPC3,arx-5,8
ARPC4,arx-6,7
ARPC5,arx-7,11
ARPC5,C46H11.3,9
ARPC5L,arx-7,11
ARPP21,ZK121.2,5
ARR3,arr-1,7
ARRB1,arr-1,7
ARRB2,arr-1,7
ARRDC1,arrd-15,7
ARRDC2,arrd-11,9
ARRDC2,arrd-13,4
ARRDC2,arrd-14,19
ARRDC2,arrd-16,9
ARRDC2,arrd-17,4
ARRDC2,arrd-18,10
ARRDC2,arrd-19,6
ARRDC2,arrd-24,9
ARRDC2,arrd-25,1
ARRDC2,arrd-5,9
ARRDC2,arrd-7,20
ARRDC2,arrd-8,9
ARRDC3,arrd-12,9
ARRDC3,arrd-2,9
ARRDC3,arrd-22,2
ARRDC3,arrd-23,9
ARRDC3,arrd-26,9
ARRDC3,arrd-4,5
ARRDC3,arrd-6,7
ARRDC4,arrd-3,9
ARRDC4,arrd-9,9
ARSA,sul-2,7
ARSB,sul-3,18
ARSI,sul-3,18
ARSJ,sul-3,18
ARV1,R05H5.5,9
ARVCF,jac-1,1
ARX,alr-1,7
ASAH1,asah-1,20
ASAH1,F27E5.1,20
ASCC1,C23H3.3,17
ASCC3,Y54E2A.4,1
ASCL1,hlh-3,9
ASCL2,hlh-3,9
ASCL3,hlh-6,9
ASCL4,hlh-6,9
ASCL5,hlh-14,9
ASCL5,hlh-4,9
ASCL5,hlh-6,9
ASF1A,asfl-1,9
ASF1A,unc-85,11
ASGR1,T25C12.3,20
ASH1L,lin-59,1
ASH2L,ash-2,10
ASIC1,acd-2,9
ASIC1,del-4,5
ASIC1,del-9,9
ASIC1,delm-1,9
ASIC1,delm-2,8
ASIC2,acd-3,7
ASIC2,acd-5,9
ASIC2,asic-2,9
ASIC2,del-10,9
ASIC2,flr-1,20
ASIC5,acd-1,18
ASIC5,acd-4,9
ASIC5,degt-1,9
ASIC5,del-6,18
ASMTL,dod-18,9
GET3,asna-1,1
ASNS,asns-1,8
ASNS,asns-2,20
ASNSD1,M18.3,11
ASPDH,F17C8.9,9
ASPG,C27A7.5,4
ASPH,K09A9.6,4
ASPM,aspm-1,17
ASPSCR1,B0024.10,14
ASTL,nas-1,8
ASTL,nas-10,9
ASTL,nas-12,9
ASTL,nas-13,5
ASTL,nas-14,8
ASTL,nas-15,8
ASTL,nas-2,9
ASTL,nas-21,9
ASTL,nas-22,9
ASTL,nas-3,9
ASTL,nas-4,9
ASTL,nas-7,12
ASTL,nas-9,18
ASTL,Y19D10A.6,9
ATAD1,mspn-1,19
ATAD2,lex-1,1
ATAD2B,lex-1,1
ATAD3A,atad-3,19
ATAD3B,atad-3,19
ATAD3C,atad-3,19
ATAD5,Y53F4B.9,17
ATAT1,atat-2,6
ATAT1,mec-17,7
ATE1,K07A1.9,13
ATF1,crh-1,1
ATF2,fos-1,1
ATF5,atf-5,1
ATF6,atf-6,10
ATG10,atg-10,9
ATG101,epg-9,1
ATG12,lgg-3,9
ATG13,atg-13,10
ATG16L1,atg-16.1,2
ATG16L1,atg-16.2,14
ATG2A,atg-2,1
ATG2B,atg-2,1
ATG3,atg-3,19
ATG4A,atg-4.1,13
ATG4B,atg-4.1,13
ATG4C,atg-4.2,6
ATG4D,atg-4.2,6
ATG5,atg-5,14
ATG7,atg-7,1
ATG9A,atg-9,1
ATG9B,atg-9,1
ATIC,atic-1,9
ATL1,atln-1,1
ATL1,atln-2,16
ATL2,atln-1,1
ATL3,atln-1,1
ATM,atm-1,10
ATOH1,lin-32,9
ATP10A,tat-3,10
ATP10B,tat-3,10
ATP10D,tat-3,10
ATP10D,tat-4,3
ATP12A,catp-2,9
ATP13A1,catp-8,1
ATP13A3,catp-5,20
ATP13A3,catp-6,1
ATP13A3,catp-7,1
ATP1A2,catp-1,12
ATP1A2,catp-4,9
ATP1A3,eat-6,1
ATP1B1,nkb-3,1
ATP1B2,nkb-1,1
ATP1B2,nkb-2,9
ATP1B3,nkb-1,1
ATP1B4,nkb-1,1
ATP2A1,sca-1,1
ATP2A2,sca-1,1
ATP2A3,sca-1,1
ATP2B1,mca-3,1
ATP2B2,mca-3,1
ATP2B3,mca-1,18
ATP2B3,mca-2,6
ATP2B3,mca-3,1
ATP2B4,mca-3,1
ATP2C1,pmr-1,10
ATP2C2,pmr-1,10
ATP4A,catp-3,12
ATP5F1A,H28O16.1,1
ATP5F1A,T26E3.7,9
ATP5F1B,atp-2,1
ATP5F1C,Y69A2AR.18,1
ATP5F1D,F58F12.1,1
ATP5IF1,mai-1,2
ATP5IF1,mai-2,1
ATP5MC1,Y82E9BR.3,1
ATP5MC2,Y82E9BR.3,1
ATP5MC3,Y82E9BR.3,1
ATP5MG,asg-1,14
ATP5MG,asg-2,1
ATP5MGL,asg-2,1
ATP5PB,asb-2,1
ATP5PO,atp-3,1
DMAC2L,C05C8.1,9
DMAC2L,R02D5.8,9
ATP6AP1,vha-19,1
ATP6AP2,vha-20,1
ATP6V0A1,unc-32,1
ATP6V0A1,vha-6,20
ATP6V0A2,unc-32,1
ATP6V0A4,unc-32,1
ATP6V0A4,vha-5,16
ATP6V0A4,vha-7,9
ATP6V0B,vha-4,1
ATP6V0C,vha-1,1
ATP6V0C,vha-2,1
ATP6V0C,vha-3,1
ATP6V0D1,vha-16,1
ATP6V0D2,vha-16,1
ATP6V0E1,vha-17,3
ATP6V0E2,vha-17,3
ATP6V1A,vha-13,1
ATP6V1B1,vha-12,3
ATP6V1B2,spe-5,9
ATP6V1B2,vha-12,3
ATP6V1C1,vha-11,1
ATP6V1C2,vha-11,1
ATP6V1D,vha-14,1
ATP6V1E1,vha-8,1
ATP6V1E2,vha-8,1
ATP6V1F,vha-9,1
ATP6V1G1,vha-10,1
ATP6V1G2,vha-10,1
ATP6V1G2-DDX39B,vha-10,1
ATP6V1G3,vha-10,1
ATP6V1H,vha-15,3
ATP6V1H,vha-18,9
ATP7A,cua-1,1
ATP8A1,tat-1,1
ATP8B1,tat-2,6
ATP8B2,tat-2,6
ATP8B3,tat-2,6
ATP8B4,tat-2,6
ATP9B,tat-5,1
ATP9B,tat-6,5
ATPAF2,Y116A8C.27,19
ATR,atl-1,1
ATRX,xnp-1,1
ATXN1L,K04F10.1,9
ATXN2,atx-2,1
ATXN2L,atx-2,1
ATXN3,atx-3,17
ATXN3L,atx-3,17
AUH,ech-5,11
AUP1,F44B9.5,17
AURKA,air-1,11
AURKA,air-2,11
AURKB,air-2,11
AURKC,air-2,11
AVIL,gsnl-1,9
AVL9,T26A5.6,1
AVPR1A,daf-38,7
AVPR1A,gnrr-2,9
AVPR1A,gnrr-4,7
AVPR1A,gnrr-5,7
AVPR1A,ntr-1,5
AVPR1A,ntr-2,9
AVPR1B,gnrr-6,9
AZIN1,odc-1,16
AZIN2,odc-1,16
B3GALT1,B0024.15,9
B3GALT1,bre-2,9
B3GALT1,bus-2,9
B3GALT1,C47F8.3,9
B3GALT1,C47F8.6,9
B3GALT1,E03H4.11,9
B3GALT1,F14B6.4,20
B3GALT2,T09F5.1,9
B3GALT5,C54C8.3,9
B3GALT5,F48F7.3,9
