Publication|Gene_name|Gene_ID|Pub_number
Hannah Müller et al.|ZBTB11|ZBTB11|6
Hannah Müller et al.|NUP153|NUP153|6
Hannah Müller et al.|NUP107|NUP107|6
Hannah Müller et al.|TSNARE1|TSNARE1|6
Hannah Müller et al.|NUP35|NUP35|6
Hannah Müller et al.|KIF11|KIF11|6
Hannah Müller et al.|DYNC1H1|DYNC1H1|6
Hannah Müller et al.|DIAPH2|DIAPH2|6
Hannah Müller et al.|DIAPH1|DIAPH1|6
Hannah Müller et al.|DIAPH3|DIAPH3|6
Hannah Müller et al.|ORC3L|ORC3L|6
Hannah Müller et al.|TRIM71|TRIM71|6
Hannah Müller et al.|LBR|LBR|6
Hannah Müller et al.|PPP1CC|PPP1CC|6
Hannah Müller et al.|PPP1CA|PPP1CA|6
Hannah Müller et al.|KPNA2|KPNA2|6
Hannah Müller et al.|AC132812.1|AC132812.1|6
Hannah Müller et al.|KPNA7|KPNA7|6
Hannah Müller et al.|RPL8|RPL8|6
Hannah Müller et al.|HADHA|HADHA|6
Hannah Müller et al.|SLC25A12|SLC25A12|6
Hannah Müller et al.|SLC25A13|SLC25A13|6
Hannah Müller et al.|EDC3|EDC3|6
Hannah Müller et al.|CCT3|CCT3|6
Hannah Müller et al.|AC005393.1|AC005393.1|6
Hannah Müller et al.|FBL|FBL|6
Hannah Müller et al.|RP11-8J23.2|RP11-8J23.2|6
Hannah Müller et al.|RPS17P5|RPS17P5|6
Hannah Müller et al.|RPS17P2|RPS17P2|6
Hannah Müller et al.|AC010724.8|AC010724.8|6
Hannah Müller et al.|PARD3B|PARD3B|6
Hannah Müller et al.|TUBBP5|TUBBP5|6
Hannah Müller et al.|TUBB1|TUBB1|6
Hannah Müller et al.|TUBB4Q|TUBB4Q|6
Hannah Müller et al.|AF146191.3|AF146191.3|6
Hannah Müller et al.|AP001005.1|AP001005.1|6
Hannah Müller et al.|PKLR|PKLR|6
Hannah Müller et al.|PKM2|PKM2|6
Hannah Müller et al.|KCTD20|KCTD20|6
Hannah Müller et al.|BTBD10|BTBD10|6
Hannah Müller et al.|BICD2|BICD2|6
Hannah Müller et al.|BICD1|BICD1|6
Hannah Müller et al.|TUBG2|TUBG2|6
Hannah Müller et al.|TUBG1|TUBG1|6
Hannah Müller et al.|BOLL|BOLL|6
Hannah Müller et al.|DAZL|DAZL|6
Hannah Müller et al.|DAZ4|DAZ4|6
Hannah Müller et al.|DAZ3|DAZ3|6
Hannah Müller et al.|DAZ2|DAZ2|6
Hannah Müller et al.|DAZ1|DAZ1|6
Hannah Müller et al.|RPS9|RPS9|6
Hannah Müller et al.|RPS7|RPS7|6
Hannah Müller et al.|AC013725.1|AC013725.1|6
Hannah Müller et al.|NEDD1|NEDD1|6
Hannah Müller et al.|TMEM209|TMEM209|6
Hannah Müller et al.|PTBP2|PTBP2|6
Hannah Müller et al.|ROD1|ROD1|6
Hannah Müller et al.|PTBP1|PTBP1|6
Hannah Müller et al.|AC021593.1|AC021593.1|6
Hannah Müller et al.|TNRC6A|TNRC6A|6
Hannah Müller et al.|TNRC6B|TNRC6B|6
Hannah Müller et al.|HIST1H2AA|HIST1H2AA|6
Hannah Müller et al.|SMCHD1|SMCHD1|6
Hannah Müller et al.|HIST1H2AH|HIST1H2AH|6
Hannah Müller et al.|HIST1H2AI|HIST1H2AI|6
Hannah Müller et al.|HIST1H2AJ|HIST1H2AJ|6
Hannah Müller et al.|HIST1H2AK|HIST1H2AK|6
Hannah Müller et al.|HIST1H2AL|HIST1H2AL|6
Hannah Müller et al.|HIST1H2AM|HIST1H2AM|6
Hannah Müller et al.|SLC25A5|SLC25A5|6
Hannah Müller et al.|SLC25A4|SLC25A4|6
Hannah Müller et al.|SLC25A31|SLC25A31|6
Hannah Müller et al.|SLC25A6|SLC25A6|6
Hannah Müller et al.|EVPL|EVPL|6
Hannah Müller et al.|MACF1|MACF1|6
Hannah Müller et al.|DST|DST|6
Hannah Müller et al.|EVPLL|EVPLL|6
Hannah Müller et al.|AC105049.1|AC105049.1|6
Hannah Müller et al.|PLEC1|PLEC1|6
Hannah Müller et al.|DSP|DSP|6
Hannah Müller et al.|PPL|PPL|6
Hannah Müller et al.|CHD2|CHD2|6
Hannah Müller et al.|CHD1|CHD1|6
Hannah Müller et al.|RP5-1065J22.3|RP5-1065J22.3|6
Hannah Müller et al.|RP11-592N21.1|RP11-592N21.1|6
Hannah Müller et al.|RPL17|RPL17|6
Hannah Müller et al.|HSPA4|HSPA4|6
Hannah Müller et al.|HSPA4L|HSPA4L|6
Hannah Müller et al.|HSPH1|HSPH1|6
Hannah Müller et al.|NEK10|NEK10|6
Hannah Müller et al.|RAB11FIP4|RAB11FIP4|6
Hannah Müller et al.|RAB11FIP3|RAB11FIP3|6
Hannah Müller et al.|RP11-889L3.1|RP11-889L3.1|6
Hannah Müller et al.|RPL19|RPL19|6
Hannah Müller et al.|BCL9|BCL9|6
Hannah Müller et al.|BCL9L|BCL9L|6
Hannah Müller et al.|RP11-3P17.1|RP11-3P17.1|6
Hannah Müller et al.|AC016629.3|AC016629.3|6
Hannah Müller et al.|AC139099.1|AC139099.1|6
Hannah Müller et al.|RPL23AP82|RPL23AP82|6
Hannah Müller et al.|AC004034.1|AC004034.1|6
Hannah Müller et al.|RP4-816N1.1|RP4-816N1.1|6
Hannah Müller et al.|RPL23AP53|RPL23AP53|6
Hannah Müller et al.|SSR2|SSR2|6
Hannah Müller et al.|CNOT4|CNOT4|6
Hannah Müller et al.|ORC1L|ORC1L|6
Hannah Müller et al.|NUP98|NUP98|6
Hannah Müller et al.|RPL30|RPL30|6
Hannah Müller et al.|SPTAN1|SPTAN1|6
Hannah Müller et al.|TNKS2|TNKS2|6
Hannah Müller et al.|RPL7A|RPL7A|6
Hannah Müller et al.|RPL4|RPL4|6
Hannah Müller et al.|AC116968.1|AC116968.1|6
Hannah Müller et al.|EIF2B5|EIF2B5|6
Hannah Müller et al.|AC004086.1|AC004086.1|6
Hannah Müller et al.|MAP2K6|MAP2K6|6
Hannah Müller et al.|MAP2K3|MAP2K3|6
Hannah Müller et al.|FXR1|FXR1|6
Hannah Müller et al.|FMR1|FMR1|6
Hannah Müller et al.|FXR2|FXR2|6
Hannah Müller et al.|AURKC|AURKC|6
Hannah Müller et al.|AURKA|AURKA|6
Hannah Müller et al.|AURKB|AURKB|6
Hannah Müller et al.|PPP4C|PPP4C|6
Hannah Müller et al.|PUF60|PUF60|6
Hannah Müller et al.|RPS19|RPS19|6
Hannah Müller et al.|ATP6V1A|ATP6V1A|6
Hannah Müller et al.|TUBE1|TUBE1|6
Hannah Müller et al.|TUBB2C|TUBB2C|6
Hannah Müller et al.|TUBB4|TUBB4|6
Hannah Müller et al.|CDC20|CDC20|6
Hannah Müller et al.|CAD|CAD|6
Hannah Müller et al.|RPS6|RPS6|6
Hannah Müller et al.|RANGAP1|RANGAP1|6
Hannah Müller et al.|DNAJB2|DNAJB2|6
Hannah Müller et al.|DNAJB8|DNAJB8|6
Hannah Müller et al.|DNAJB6|DNAJB6|6
Hannah Müller et al.|DNAJB9|DNAJB9|6
Hannah Müller et al.|DNAJB7|DNAJB7|6
Hannah Müller et al.|ATAD3C|ATAD3C|6
Hannah Müller et al.|ATAD3B|ATAD3B|6
Hannah Müller et al.|ATAD3A|ATAD3A|6
Hannah Müller et al.|MYB|MYB|6
Hannah Müller et al.|MYBL1|MYBL1|6
Hannah Müller et al.|MYBL2|MYBL2|6
Hannah Müller et al.|CSE1L|CSE1L|6
Hannah Müller et al.|SSBP1|SSBP1|6
Hannah Müller et al.|ABCF2|ABCF2|6
Hannah Müller et al.|GIGYF1|GIGYF1|6
Hannah Müller et al.|NUP93|NUP93|6
Hannah Müller et al.|SLK|SLK|6
Hannah Müller et al.|STK10|STK10|6
Hannah Müller et al.|RP11-129B9.1|RP11-129B9.1|6
Hannah Müller et al.|RP11-848D3.1|RP11-848D3.1|6
Hannah Müller et al.|RPL14|RPL14|6
Hannah Müller et al.|COX6B2|COX6B2|6
Hannah Müller et al.|COX6B1|COX6B1|6
Hannah Müller et al.|CENPE|CENPE|6
Hannah Müller et al.|HSPA6|HSPA6|6
Hannah Müller et al.|HSPA8|HSPA8|6
Hannah Müller et al.|HSPA1L|HSPA1L|6
Hannah Müller et al.|HSPA1A|HSPA1A|6
Hannah Müller et al.|HSPA1B|HSPA1B|6
Hannah Müller et al.|HSPA2|HSPA2|6
Hannah Müller et al.|CBLN4|CBLN4|6
Hannah Müller et al.|CAPRIN1|CAPRIN1|6
Hannah Müller et al.|CBLN1|CBLN1|6
Hannah Müller et al.|CAPRIN2|CAPRIN2|6
Hannah Müller et al.|CBLN2|CBLN2|6
Hannah Müller et al.|CBLN3|CBLN3|6
Hannah Müller et al.|CDK5RAP2|CDK5RAP2|6
Hannah Müller et al.|IMMT|IMMT|6
Hannah Müller et al.|DCP1A|DCP1A|6
Hannah Müller et al.|DCP1B|DCP1B|6
Hannah Müller et al.|PPP1R9B|PPP1R9B|6
Hannah Müller et al.|SAMD14|SAMD14|6
Hannah Müller et al.|PPP1R9A|PPP1R9A|6
Hannah Müller et al.|CTBP2|CTBP2|6
Hannah Müller et al.|CTBP1|CTBP1|6
Hannah Müller et al.|AC011841.5|AC011841.5|6
Hannah Müller et al.|HNRNPU|HNRNPU|6
Hannah Müller et al.|HNRNPUL1|HNRNPUL1|6
Hannah Müller et al.|HNRNPUL2|HNRNPUL2|6
Hannah Müller et al.|TUBA3D|TUBA3D|6
Hannah Müller et al.|TUBA3E|TUBA3E|6
Hannah Müller et al.|AP002364.4|AP002364.4|6
Hannah Müller et al.|TUBA1B|TUBA1B|6
Hannah Müller et al.|TUBA1A|TUBA1A|6
Hannah Müller et al.|TUBA3C|TUBA3C|6
Hannah Müller et al.|PKP1|PKP1|6
Hannah Müller et al.|PK4P|PK4P|6
Hannah Müller et al.|PKP2|PKP2|6
Hannah Müller et al.|CTNND1|CTNND1|6
Hannah Müller et al.|ARVCF|ARVCF|6
Hannah Müller et al.|CTNND2|CTNND2|6
Hannah Müller et al.|PKP3|PKP3|6
Hannah Müller et al.|TAF13|TAF13|6
Hannah Müller et al.|CNOT3|CNOT3|6
Hannah Müller et al.|EIF3M|EIF3M|6
Hannah Müller et al.|EIF4A2|EIF4A2|6
Hannah Müller et al.|EIF4A1|EIF4A1|6
Hannah Müller et al.|PATL1|PATL1|6
Hannah Müller et al.|PATL2|PATL2|6
Hannah Müller et al.|G3BP1|G3BP1|6
Hannah Müller et al.|G3BP2|G3BP2|6
Hannah Müller et al.|ACTR5|ACTR5|6
Hannah Müller et al.|TRAP1|TRAP1|6
Hannah Müller et al.|PPP2R1A|PPP2R1A|6
Hannah Müller et al.|PPP2R1B|PPP2R1B|6
Hannah Müller et al.|ASPM|ASPM|6
Hannah Müller et al.|PRC1|PRC1|6
Hannah Müller et al.|ANKHD1|ANKHD1|6
Hannah Müller et al.|RPL10|RPL10|6
Hannah Müller et al.|CTC-575D19.1|CTC-575D19.1|6
Hannah Müller et al.|AC090287.2|AC090287.2|6
Hannah Müller et al.|RPL10L|RPL10L|6
Hannah Müller et al.|PUM1|PUM1|6
Hannah Müller et al.|PUM2|PUM2|6
Hannah Müller et al.|RANBP10|RANBP10|6
Hannah Müller et al.|RANBP9|RANBP9|6
Hannah Müller et al.|CCT2|CCT2|6
Hannah Müller et al.|TCOF1|TCOF1|6
Hannah Müller et al.|RPS4Y1|RPS4Y1|6
Hannah Müller et al.|RPS4P21|RPS4P21|6
Hannah Müller et al.|RPS4X|RPS4X|6
Hannah Müller et al.|RPS4Y2|RPS4Y2|6
Hannah Müller et al.|SAMD4B|SAMD4B|6
Hannah Müller et al.|SAMD4A|SAMD4A|6
Hannah Müller et al.|EDC4|EDC4|6
Hannah Müller et al.|RPL11|RPL11|6
Hannah Müller et al.|DNAJA1|DNAJA1|6
Hannah Müller et al.|DNAJA4|DNAJA4|6
Hannah Müller et al.|RPL13|RPL13|6
Hannah Müller et al.|ANLN|ANLN|6
Hannah Müller et al.|TECR|TECR|6
Hannah Müller et al.|TECRL|TECRL|6
Hannah Müller et al.|RPL13A|RPL13A|6
Hannah Müller et al.|RP11-365K22.1|RP11-365K22.1|6
Hannah Müller et al.|RPL13AP3|RPL13AP3|6
Hannah Müller et al.|RP11-392P7.2|RP11-392P7.2|6
Hannah Müller et al.|KIF25|KIF25|6
Hannah Müller et al.|KIFC1|KIFC1|6
Hannah Müller et al.|KIFC3|KIFC3|6
Hannah Müller et al.|KIFC2|KIFC2|6
Hannah Müller et al.|H2AFZ|H2AFZ|6
Hannah Müller et al.|H2AFV|H2AFV|6
Hannah Müller et al.|BTRC|BTRC|6
Hannah Müller et al.|FBXW11|FBXW11|6
Hannah Müller et al.|ARPC1A|ARPC1A|6
Hannah Müller et al.|ARPC1B|ARPC1B|6
Hannah Müller et al.|EP300|EP300|6
Hannah Müller et al.|CREBBP|CREBBP|6
Hannah Müller et al.|AC008038.1|AC008038.1|6
Hannah Müller et al.|AC079857.3|AC079857.3|6
Hannah Müller et al.|NUP205|NUP205|6
Hannah Müller et al.|TTF2|TTF2|6
Hannah Müller et al.|INSC|INSC|6
Hannah Müller et al.|NUP155|NUP155|6
Hannah Müller et al.|RGPD2|RGPD2|6
Hannah Müller et al.|CDR2L|CDR2L|6
Hannah Müller et al.|RPL27A|RPL27A|6
Hannah Müller et al.|RPL28|RPL28|6
Hannah Müller et al.|AC096766.1|AC096766.1|6
Hannah Müller et al.|RPL3|RPL3|6
Hannah Müller et al.|RPL3L|RPL3L|6
Hannah Müller et al.|MTMR8|MTMR8|6
Hannah Müller et al.|MTMR6|MTMR6|6
Hannah Müller et al.|MTMR7|MTMR7|6
Hannah Müller et al.|MTMR9|MTMR9|6
Hannah Müller et al.|PABPC4|PABPC4|6
Hannah Müller et al.|MARK1|MARK1|6
Hannah Müller et al.|MARK4|MARK4|6
Hannah Müller et al.|MARK2|MARK2|6
Hannah Müller et al.|MARK3|MARK3|6
Hannah Müller et al.|COG4|COG4|6
Hannah Müller et al.|HSPA5|HSPA5|6
Hannah Müller et al.|ATP5A1|ATP5A1|6
Hannah Müller et al.|DBT|DBT|6
Hannah Müller et al.|RPLP0|RPLP0|6
Hannah Müller et al.|AC026403.1|AC026403.1|6
Hannah Müller et al.|SNRNP200|SNRNP200|6
Hannah Müller et al.|RACGAP1|RACGAP1|6
Hannah Müller et al.|GOLGB1|GOLGB1|6
Hannah Müller et al.|VAPB|VAPB|6
Hannah Müller et al.|VAPA|VAPA|6
Hannah Müller et al.|KPNB1|KPNB1|6
Hannah Müller et al.|DDX3X|DDX3X|6
Hannah Müller et al.|DDX3Y|DDX3Y|6
Hannah Müller et al.|CLASP1|CLASP1|6
Hannah Müller et al.|CLASP2|CLASP2|6
Hannah Müller et al.|KIF14|KIF14|6
Hannah Müller et al.|RPL18|RPL18|6
Hannah Müller et al.|INTS1|INTS1|6
Hannah Müller et al.|RAE1|RAE1|6
Hannah Müller et al.|RPS8|RPS8|6
Hannah Müller et al.|RP11-252I14.1|RP11-252I14.1|6
Hannah Müller et al.|TUBGCP4|TUBGCP4|6
Hannah Müller et al.|CHEK1|CHEK1|6
Hannah Müller et al.|NUP188|NUP188|6
Hannah Müller et al.|MTHFSD|MTHFSD|6
Hannah Müller et al.|NAP1L1|NAP1L1|6
Hannah Müller et al.|NAP1L3|NAP1L3|6
Hannah Müller et al.|NAP1L5|NAP1L5|6
Hannah Müller et al.|NAP1L6|NAP1L6|6
Hannah Müller et al.|NAP1L2|NAP1L2|6
Hannah Müller et al.|NAP1L4|NAP1L4|6
Hannah Müller et al.|CDK3|CDK3|6
Hannah Müller et al.|CDK2|CDK2|6
Hannah Müller et al.|DDX5|DDX5|6
Hannah Müller et al.|DDX17|DDX17|6
Hannah Müller et al.|TTK|TTK|6
Hannah Müller et al.|RPL35|RPL35|6
Hannah Müller et al.|EEF1A1|EEF1A1|6
Hannah Müller et al.|EIF4G1|EIF4G1|6
Hannah Müller et al.|EIF4G3|EIF4G3|6
Hannah Müller et al.|SNAI3|SNAI3|6
Hannah Müller et al.|SNAI1|SNAI1|6
Hannah Müller et al.|SNAI2|SNAI2|6
Hannah Müller et al.|EEF2|EEF2|6
Hannah Müller et al.|CKAP5|CKAP5|6
Hannah Müller et al.|SPTBN5|SPTBN5|6
Hannah Müller et al.|TUBGCP3|TUBGCP3|6
Hannah Müller et al.|RPL9|RPL9|6
Hannah Müller et al.|NUP85|NUP85|6
Hannah Müller et al.|CETN2|CETN2|6
Hannah Müller et al.|CETN1|CETN1|6
Hannah Müller et al.|TPR|TPR|6
Hannah Müller et al.|CDC5L|CDC5L|6
Hannah Müller et al.|UQCRC2|UQCRC2|6
Hannah Müller et al.|NUP43|NUP43|6
Hannah Müller et al.|SETD8|SETD8|6
Hannah Müller et al.|AL356585.2|AL356585.2|6
Hannah Müller et al.|SMARCA2|SMARCA2|6
Hannah Müller et al.|TUBGCP2|TUBGCP2|6
Hannah Müller et al.|RP11-46H11.1|RP11-46H11.1|6
Hannah Müller et al.|AC010619.2|AC010619.2|6
Hannah Müller et al.|POTEE|POTEE|6
Hannah Müller et al.|POTEJ|POTEJ|6
Hannah Müller et al.|POTEI|POTEI|6
Hannah Müller et al.|A26C1B|A26C1B|6
Hannah Müller et al.|ACTG1|ACTG1|6
Hannah Müller et al.|ACTB|ACTB|6
Hannah Müller et al.|AC026410.3|AC026410.3|6
Hannah Müller et al.|ACTBL2|ACTBL2|6
Hannah Müller et al.|NUP50|NUP50|6
Hannah Müller et al.|AL049869.1|AL049869.1|6
Hannah Müller et al.|CENPJ|CENPJ|6
Hannah Müller et al.|RRM2B|RRM2B|6
Hannah Müller et al.|RPL10A|RPL10A|6
Hannah Müller et al.|RBL2|RBL2|6
Hannah Müller et al.|RBL1|RBL1|6
Hannah Müller et al.|CCDC64|CCDC64|6
Hannah Müller et al.|CCDC64B|CCDC64B|6
Hannah Müller et al.|KIAA0664|KIAA0664|6
Hannah Müller et al.|SASS6|SASS6|6
Hannah Müller et al.|DENND5B|DENND5B|6
Hannah Müller et al.|DENND5A|DENND5A|6
Hannah Müller et al.|TUBGCP6|TUBGCP6|6
Hannah Müller et al.|CNOT6|CNOT6|6
Hannah Müller et al.|CNOT6L|CNOT6L|6
Hannah Müller et al.|ATP5B|ATP5B|6
Hannah Müller et al.|RPL21|RPL21|6
Hannah Müller et al.|CDR2|CDR2|6
Hannah Müller et al.|CDK1|CDK1|6
Hannah Müller et al.|PCNT|PCNT|6
Hannah Müller et al.|RPL17P39|RPL17P39|6
Hannah Müller et al.|ORC3|ORC3|6
Hannah Müller et al.|CEP192|CEP192|6
Hannah Müller et al.|ORC1|ORC1|6
Hannah Müller et al.|HIST2H2AB|HIST2H2AB|6
Hannah Müller et al.|RPL22|RPL22|6
Hannah Müller et al.|NEK2|NEK2|6
Laurençon et al.|ACSS2|ACSS2|7
Laurençon et al.|ACTG1|ACTG1|7
Laurençon et al.|CECR1|CECR1|7
Laurençon et al.|CMTR2|CMTR2|7
Laurençon et al.|NAA10|NAA10|7
Laurençon et al.|ASPH|ASPH|7
Laurençon et al.|ABCG1|ABCG1|7
Laurençon et al.|MEFV|MEFV|7
Laurençon et al.|CNTNAP2|CNTNAP2|7
Laurençon et al.|LYRM4|LYRM4|7
Laurençon et al.|CADM2|CADM2|7
Laurençon et al.|DYNC2H1|DYNC2H1|7
Laurençon et al.|CASK|CASK|7
Laurençon et al.|CBY1|CBY1|7
Laurençon et al.|CCT5|CCT5|7
Laurençon et al.|FARP2|FARP2|7
Laurençon et al.|REL|REL|7
Laurençon et al.|GPATCH11|GPATCH11|7
Laurençon et al.|ELMOD1|ELMOD1|7
Laurençon et al.|NWD2|NWD2|7
Laurençon et al.|NUDT19|NUDT19|7
Laurençon et al.|RWDD4|RWDD4|7
Laurençon et al.|DHRS4|DHRS4|7
Laurençon et al.|WDR83OS|WDR83OS|7
Laurençon et al.|ATP5S|ATP5S|7
Laurençon et al.|ICE2|ICE2|7
Laurençon et al.|DNAI2|DNAI2|7
Laurençon et al.|ZC3H12A|ZC3H12A|7
Laurençon et al.|CWC27|CWC27|7
Laurençon et al.|COX5B|COX5B|7
Laurençon et al.|NSUN6|NSUN6|7
Laurençon et al.|RNASEH2B|RNASEH2B|7
Laurençon et al.|BBS5|BBS5|7
Laurençon et al.|TTLL8|TTLL8|7
Laurençon et al.|MRI1|MRI1|7
Laurençon et al.|ARL15|ARL15|7
Laurençon et al.|PLPP1|PLPP1|7
Laurençon et al.|KLK7|KLK7|7
Laurençon et al.|TCERG1|TCERG1|7
Laurençon et al.|LYST|LYST|7
Laurençon et al.|F11|F11|7
Laurençon et al.|KATNAL1|KATNAL1|7
Laurençon et al.|MTFR1|MTFR1|7
Laurençon et al.|PSMB4|PSMB4|7
Laurençon et al.|IDS|IDS|7
Laurençon et al.|DNAJB13|DNAJB13|7
Laurençon et al.|USP5|USP5|7
Laurençon et al.|AAR2|AAR2|7
Laurençon et al.|DNM1|DNM1|7
Laurençon et al.|SLC8B1|SLC8B1|7
Laurençon et al.|YIPF5|YIPF5|7
Laurençon et al.|FAIM2|FAIM2|7
Laurençon et al.|CLEC16A|CLEC16A|7
Laurençon et al.|SLC12A8|SLC12A8|7
Laurençon et al.|NOL6|NOL6|7
Laurençon et al.|SLC22A31|SLC22A31|7
Laurençon et al.|GLIS3|GLIS3|7
Laurençon et al.|TMPRSS3|TMPRSS3|7
Laurençon et al.|CCDC13|CCDC13|7
Laurençon et al.|DRC3|DRC3|7
Laurençon et al.|CCDC103|CCDC103|7
Laurençon et al.|FAAH2|FAAH2|7
Laurençon et al.|TPM1|TPM1|7
Laurençon et al.|RNF123|RNF123|7
Laurençon et al.|DZIP1L|DZIP1L|7
Laurençon et al.|YIPF6|YIPF6|7
Laurençon et al.|SF3B3|SF3B3|7
Laurençon et al.|FMNL2|FMNL2|7
Laurençon et al.|PTPN23|PTPN23|7
Laurençon et al.|CCDC34|CCDC34|7
Laurençon et al.|SLC35A5|SLC35A5|7
Laurençon et al.|SPATA6L|SPATA6L|7
Laurençon et al.|CCDC151|CCDC151|7
Laurençon et al.|BLOC1S2|BLOC1S2|7
Laurençon et al.|NUP35|NUP35|7
Laurençon et al.|ANK3|ANK3|7
Laurençon et al.|DHX15|DHX15|7
Laurençon et al.|DUSP22|DUSP22|7
Laurençon et al.|PIGH|PIGH|7
Laurençon et al.|UQCR11|UQCR11|7
Laurençon et al.|CISD2|CISD2|7
Laurençon et al.|SLC2A6|SLC2A6|7
Laurençon et al.|CARD8|CARD8|7
Laurençon et al.|LRIG2|LRIG2|7
Laurençon et al.|APOPT1|APOPT1|7
Laurençon et al.|TARBP1|TARBP1|7
Laurençon et al.|TJAP1|TJAP1|7
Laurençon et al.|MITD1|MITD1|7
Laurençon et al.|SENP8|SENP8|7
Laurençon et al.|LMO1|LMO1|7
Laurençon et al.|DOPEY1|DOPEY1|7
Laurençon et al.|IFT46|IFT46|7
Laurençon et al.|SV2B|SV2B|7
Laurençon et al.|LAMB1|LAMB1|7
Laurençon et al.|FAN1|FAN1|7
Laurençon et al.|SPDL1|SPDL1|7
Laurençon et al.|EBNA1BP2|EBNA1BP2|7
Laurençon et al.|PIGN|PIGN|7
Laurençon et al.|YARS2|YARS2|7
Laurençon et al.|ENKUR|ENKUR|7
Laurençon et al.|ATP8A1|ATP8A1|7
Laurençon et al.|SMYD1|SMYD1|7
Laurençon et al.|ZAN|ZAN|7
Laurençon et al.|DNAH3|DNAH3|7
Laurençon et al.|SARS|SARS|7
Laurençon et al.|CTSE|CTSE|7
Laurençon et al.|PSMB2|PSMB2|7
Laurençon et al.|PACRG|PACRG|7
Laurençon et al.|NETO2|NETO2|7
Laurençon et al.|LRRTM4|LRRTM4|7
Laurençon et al.|ROCK2|ROCK2|7
Laurençon et al.|PNLIPRP1|PNLIPRP1|7
Laurençon et al.|CDK2AP1|CDK2AP1|7
Laurençon et al.|CC2D2A|CC2D2A|7
Laurençon et al.|PRSS16|PRSS16|7
Laurençon et al.|SCN3A|SCN3A|7
Laurençon et al.|TNFAIP1|TNFAIP1|7
Laurençon et al.|SUN1|SUN1|7
Laurençon et al.|UGT3A1|UGT3A1|7
Laurençon et al.|NDRG2|NDRG2|7
Laurençon et al.|ZNF782|ZNF782|7
Laurençon et al.|SLC5A8|SLC5A8|7
Laurençon et al.|C2orf42|C2orf42|7
Laurençon et al.|LRRC20|LRRC20|7
Laurençon et al.|RRP12|RRP12|7
Laurençon et al.|DNAJC24|DNAJC24|7
Laurençon et al.|PRR14|PRR14|7
Laurençon et al.|RNASEH2C|RNASEH2C|7
Laurençon et al.|PROM2|PROM2|7
Laurençon et al.|PSMD10|PSMD10|7
Laurençon et al.|CKB|CKB|7
Laurençon et al.|CCDC22|CCDC22|7
Laurençon et al.|PPIA|PPIA|7
Laurençon et al.|IFT20|IFT20|7
Laurençon et al.|TEKT2|TEKT2|7
Laurençon et al.|AGBL4|AGBL4|7
Laurençon et al.|KIAA1549L|KIAA1549L|7
Laurençon et al.|SRBD1|SRBD1|7
Laurençon et al.|TMEM135|TMEM135|7
Laurençon et al.|SLC46A2|SLC46A2|7
Laurençon et al.|DDR2|DDR2|7
Laurençon et al.|SCARB1|SCARB1|7
Laurençon et al.|DDA1|DDA1|7
Laurençon et al.|SLC30A2|SLC30A2|7
Laurençon et al.|FH|FH|7
Laurençon et al.|CDH4|CDH4|7
Laurençon et al.|RPAP1|RPAP1|7
Laurençon et al.|TTLL1|TTLL1|7
Laurençon et al.|ZNF593|ZNF593|7
Laurençon et al.|BICD2|BICD2|7
Laurençon et al.|QPCT|QPCT|7
Laurençon et al.|TRAF3IP1|TRAF3IP1|7
Laurençon et al.|ATP5I|ATP5I|7
Laurençon et al.|DOT1L|DOT1L|7
Laurençon et al.|SCPEP1|SCPEP1|7
Laurençon et al.|TMEM177|TMEM177|7
Laurençon et al.|CACNG8|CACNG8|7
Laurençon et al.|THADA|THADA|7
Laurençon et al.|METTL25|METTL25|7
Laurençon et al.|RUNX1|RUNX1|7
Laurençon et al.|PPWD1|PPWD1|7
Laurençon et al.|EMG1|EMG1|7
Laurençon et al.|HSD17B8|HSD17B8|7
Laurençon et al.|PEX12|PEX12|7
Laurençon et al.|DYNC2LI1|DYNC2LI1|7
Laurençon et al.|ADAMTS7|ADAMTS7|7
Laurençon et al.|SAT2|SAT2|7
Laurençon et al.|CHRM2|CHRM2|7
Laurençon et al.|GPR84|GPR84|7
Laurençon et al.|AADACL4|AADACL4|7
Laurençon et al.|ZNF544|ZNF544|7
Laurençon et al.|TRPV6|TRPV6|7
Laurençon et al.|MTO1|MTO1|7
Laurençon et al.|SLC22A4|SLC22A4|7
Laurençon et al.|FCHSD2|FCHSD2|7
Laurençon et al.|TEX9|TEX9|7
Laurençon et al.|PHEX|PHEX|7
Laurençon et al.|FAR1|FAR1|7
Laurençon et al.|MTAP|MTAP|7
Laurençon et al.|CACNG5|CACNG5|7
Laurençon et al.|TMX3|TMX3|7
Laurençon et al.|RGS20|RGS20|7
Laurençon et al.|PIH1D3|PIH1D3|7
Laurençon et al.|SPEN|SPEN|7
Laurençon et al.|ARMC4|ARMC4|7
Laurençon et al.|TRMT10C|TRMT10C|7
Laurençon et al.|PRSS1|PRSS1|7
Laurençon et al.|LRRK1|LRRK1|7
Laurençon et al.|PUDP|PUDP|7
Laurençon et al.|DBT|DBT|7
Laurençon et al.|SPAG17|SPAG17|7
Laurençon et al.|CFAP58|CFAP58|7
Laurençon et al.|CPN2|CPN2|7
Laurençon et al.|FBF1|FBF1|7
Laurençon et al.|MRPL58|MRPL58|7
Laurençon et al.|CROCC|CROCC|7
Laurençon et al.|SLC22A16|SLC22A16|7
Laurençon et al.|LAP3|LAP3|7
